sample	type	batch
CS_AM_R1	AM	CS
CS_AM_R2	AM	CS
CS_DR_R1	DR	CS
CS_DR_R2	DR	CS
CS_FM_R1	FM	CS
CS_FM_R2	FM	CS
CS_TS_R1	TS	CS
CS_TS_R2	TS	CS
KN_DR_R1	DR	KN
KN_DR_R2	DR	KN
KN_EL_R1	EL	KN
KN_EL_R2	EL	KN
KN_FM_R1	FM	KN
KN_FM_R2	FM	KN
KN_GP_R1	GP	KN
KN_GP_R2	GP	KN
KN_IM_R1	IM	KN
KN_IM_R2	IM	KN
KN_VE_R1	VE	KN
KN_VE_R2	VE	KN
LE_DR_PP_R1	CK	LE
LE_DR_PP_R2	CK	LE
LE_DR_PP_R3	CK	LE
ZM_AM_R1	AM	ZM
ZM_AM_R2	AM	ZM
ZM_AM_R3	AM	ZM
ZM_DR_R1	DR	ZM
ZM_DR_R2	DR	ZM
ZM_DR_R3	DR	ZM
ZM_FM_R1	FM	ZM
ZM_FM_R2	FM	ZM
ZM_FM_R3	FM	ZM
ZM_GP_R1	GP	ZM
ZM_GP_R2	GP	ZM
ZM_GP_R3	GP	ZM
ZM_IM_R1	IM	ZM
ZM_IM_R2	IM	ZM
ZM_IM_R3	IM	ZM
ZM_PP_R1	PP	ZM
ZM_PP_R2	PP	ZM
ZM_PP_R3	PP	ZM
