Samp	conditions	individual
AM_CS_R1	AM	CS
AM_CS_R2	AM	CS
DR_CS_R1	DR	CS
DR_CS_R2	DR	CS
FM_CS_R1	FM	CS
FM_CS_R2	FM	CS
DR_KN_R1	DR	KN
EL_KN_R1	EL	KN
EL_KN_R2	EL	KN
FM_KN_R1	FM	KN
FM_KN_R2	FM	KN
GP_KN_R1	GP	KN
GP_KN_R2	GP	KN
IM_KN_R1	IM	KN
IM_KN_R2	IM	KN
VE_KN_R1	VE	KN
VE_KN_R2	VE	KN
AM_ZM_R1	AM	ZM
AM_ZM_R2	AM	ZM
AM_ZM_R3	AM	ZM
DR_ZM_R1	DR	ZM
DR_ZM_R2	DR	ZM
DR_ZM_R3	DR	ZM
FM_ZM_R1	FM	ZM
FM_ZM_R2	FM	ZM
FM_ZM_R3	FM	ZM
GP_ZM_R1	GP	ZM
GP_ZM_R2	GP	ZM
GP_ZM_R3	GP	ZM
IM_ZM_R1	IM	ZM
IM_ZM_R2	IM	ZM
IM_ZM_R3	IM	ZM
PP_ZM_R1	PP	ZM
PP_ZM_R2	PP	ZM
