SampleID	VE	EL	IM	DR	GP	FM	PP	AM
AM_CS_R1	0	0	0	0	0	0	0	1
AM_CS_R2	0	0	0	0	0	0	0	1
AM_ZM_R1	0	0	0	0	0	0	0	1
AM_ZM_R2	0	0	0	0	0	0	0	1
AM_ZM_R3	0	0	0	0	0	0	0	1
DR_CS_R1	0	0	0	1	0	0	0	0
DR_CS_R2	0	0	0	1	0	0	0	0
DR_KN_R1	0	0	0	1	0	0	0	0
DR_ZM_R1	0	0	0	1	0	0	0	0
DR_ZM_R2	0	0	0	1	0	0	0	0
DR_ZM_R3	0	0	0	1	0	0	0	0
EL_KN_R1	0	1	0	0	0	0	0	0
EL_KN_R2	0	1	0	0	0	0	0	0
FM_CS_R1	0	0	0	0	0	1	0	0
FM_CS_R2	0	0	0	0	0	1	0	0
FM_KN_R1	0	0	0	0	0	1	0	0
FM_KN_R2	0	0	0	0	0	1	0	0
FM_ZM_R1	0	0	0	0	0	1	0	0
FM_ZM_R2	0	0	0	0	0	1	0	0
FM_ZM_R3	0	0	0	0	0	1	0	0
GP_KN_R1	0	0	0	0	1	0	0	0
GP_KN_R2	0	0	0	0	1	0	0	0
GP_ZM_R1	0	0	0	0	1	0	0	0
GP_ZM_R2	0	0	0	0	1	0	0	0
GP_ZM_R3	0	0	0	0	1	0	0	0
IM_KN_R1	0	0	1	0	0	0	0	0
IM_KN_R2	0	0	1	0	0	0	0	0
IM_ZM_R1	0	0	1	0	0	0	0	0
IM_ZM_R2	0	0	1	0	0	0	0	0
IM_ZM_R3	0	0	1	0	0	0	0	0
PP_ZM_R1	0	0	0	0	0	0	1	0
PP_ZM_R2	0	0	0	0	0	0	1	0
VE_KN_R1	1	0	0	0	0	0	0	0
VE_KN_R2	1	0	0	0	0	0	0	0
