Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	12.486	15.5014	20.953
TraesCS1A02G001900	0	0	0
TraesCS1A02G002000	8.4052	9.5128	7.369
TraesCS1A02G002100	11.4134	0	0
TraesCS1A02G002200	34.0838	68.057	0
TraesCS1A02G002300	1.2754	0.009	2.0868
TraesCS1A02G002500	4.3684	0.1916	0.0202
TraesCS1A02G002700	39.9014	0.18	0
TraesCS1A02G002800	0	0.0542	0
TraesCS1A02G003546	0.0114	0	9.179
TraesCS1A02G004000	0.0458	0.005	0.046
TraesCS1A02G004100	0.2154	0	0.0478
TraesCS1A02G004200	29.7	10.893	24.4636
TraesCS1A02G004300	0.0084	0.0322	0.0062
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	0	0	0
TraesCS1A02G004700	0	0.0322	0.0062
TraesCS1A02G004900	0.5906	0.8688	5.5514
TraesCS1A02G005100	5.8198	10.404	18.8636
TraesCS1A02G005200	0.0134	0	0.014
TraesCS1A02G005300	1.3268	1.7844	5.5514
TraesCS1A02G005500	14.4998	23.7164	24.2028
TraesCS1A02G005600	0	0	0.1552
TraesCS1A02G005700	56.6688	44.5728	0
TraesCS1A02G005800	0.0084	2.163	0.0034
TraesCS1A02G005900	7.5602	10.404	18.8636
TraesCS1A02G006000	0.0182	0.0124	0.014
TraesCS1A02G006100	0	0	0
TraesCS1A02G006200	0.007	0	0.014
TraesCS1A02G006300	0.033	0	0.014
TraesCS1A02G006500	0	0	0
TraesCS1A02G006700	0.021	0.0214	0.2098
TraesCS1A02G006800	0	0	0.014
TraesCS1A02G006900	0.0128	0.079	0
TraesCS1A02G007000	0	0	0
TraesCS1A02G007100	0	0	0
TraesCS1A02G007500	26.9596	22.4352	0
TraesCS1A02G007600	0.0496	0.0262	0
TraesCS1A02G008100	1.6388	0	0.0356
TraesCS1A02G008300	0.0528	0	0.0356
TraesCS1A02G008400	0.2934	0.043	9.1662
TraesCS1A02G008800	0	0	0
TraesCS1A02G008900	0	0	0
TraesCS1A02G009000	0	18.082	0
TraesCS1A02G009100	21.0138	1.5968	12.4466
TraesCS1A02G009400	0.5816	0	0.1468
TraesCS1A02G009500	0.0018	0	0.0764
TraesCS1A02G009600	0.2182	1.62	0.0306
TraesCS1A02G009900	9.5774	0.3934	0.0478
TraesCS1A02G010100	0.2896	0.1976	7.5376
TraesCS1A02G010200	0.0454	0.0468	0.01
TraesCS1A02G010400	9.1566	0	0.0356
TraesCS1A02G010600	0.0654	0.006	0.005
TraesCS1A02G010800	0.0062	0.0516	0.005
TraesCS1A02G011200	0.031	0.0154	0
TraesCS1A02G011300	0	0.013	0.005
TraesCS1A02G011400	0.0304	0.0318	0.0276
TraesCS1A02G011800	18.8296	9.932	21.6632
TraesCS1A02G011900	0.0052	0	0.6494
TraesCS1A02G012000	0.939	0	0.6494
TraesCS1A02G012100	0.2954	0	0.6494
TraesCS1A02G012500	0	0	8.5092
TraesCS1A02G013000	0	0.014	0
TraesCS1A02G013200	0.0286	0	0.061
TraesCS1A02G013400	0	0	0
TraesCS1A02G013600	48.8856	227.6554	19.9958
TraesCS1A02G013700	4.1442	3.3672	5.0824
TraesCS1A02G013800	0.6082	0.0128	0.0374
TraesCS1A02G014000	0.0446	0	0.256
TraesCS1A02G014100	0.097	0.0998	0.256
TraesCS1A02G014800	3.4576	227.6554	19.9958
TraesCS1A02G015200	0.0282	0	0.0148
TraesCS1A02G015300	8.9254	0	7.181
TraesCS1A02G015400	7.001	8.2206	6.2234
TraesCS1A02G015500	0	0.0126	0.0294
TraesCS1A02G015600	0.0042	0	0.0038
TraesCS1A02G015700	0.0046	0	0.0094
TraesCS1A02G015800	0	0	0
TraesCS1A02G016300	0	0	0
TraesCS1A02G016800	0.1346	0.0856	0
TraesCS1A02G016900	0.0372	0	0
TraesCS1A02G017000	5.825	0.0956	0
TraesCS1A02G017300	0	0	0.0088
TraesCS1A02G017400	0	0	0.0088
TraesCS1A02G017700	0	0.022	0.0058
TraesCS1A02G017900	0.0896	0.2238	0.2542
TraesCS1A02G018000	0	0.02	0.0736
TraesCS1A02G018100	0.0872	0.2948	0.0344
TraesCS1A02G018500	0.4074	0.1056	0.2002
TraesCS1A02G018600	0	0.02	0.0736
TraesCS1A02G018700	0.0162	0.0082	0.1306
TraesCS1A02G018800	0	0.2388	0.1738
TraesCS1A02G018900	22.1166	14.4994	17.5288
TraesCS1A02G019000	38.624	31.9496	32.0396
TraesCS1A02G019200	15.5494	6.034	8.8684
TraesCS1A02G019300	0	0	0
TraesCS1A02G019400	0	2.0876	0.1286
TraesCS1A02G019600	0.0038	0.0234	0.0034
TraesCS1A02G019700	0	0	0
TraesCS1A02G019800	0	0	0
TraesCS1A02G019900	0	0.003	0.01
TraesCS1A02G020000	0.0974	0.0186	0
TraesCS1A02G020200	0	0	0
TraesCS1A02G020300	17.724	19.7118	7.9806
TraesCS1A02G020400	3.3964	1.7934	2.1624
TraesCS1A02G020500	0	83.224	94.5496
TraesCS1A02G020600	6.2274	1.6594	3.8494
TraesCS1A02G020700	1.7568	0.7916	0.8592
TraesCS1A02G020800	0.0034	0	0.0036
TraesCS1A02G021000	0	0.0862	0
TraesCS1A02G021400	0.0432	0.0862	0
TraesCS1A02G021500	0	0.009	0
TraesCS1A02G021600	0	0.0032	0
TraesCS1A02G021700	4.3694	0	0.0018
TraesCS1A02G021900	0	0	0.0588
TraesCS1A02G022000	2.3802	0	36.0792
TraesCS1A02G022400	0	0	0
TraesCS1A02G022600	23.8234	14.9714	57.1238
TraesCS1A02G022900	0	0	0.626
TraesCS1A02G023205	0.7008	1.7642	1.3846
TraesCS1A02G023300	0.1002	0.004	0.019
TraesCS1A02G023400	0	0.0366	0.0656
TraesCS1A02G023600	0.2488	0.0406	0.17
TraesCS1A02G023700	0.0068	0	0
TraesCS1A02G023800	0.009	5.3846	14.3634
TraesCS1A02G023900	6.7552	1.0232	3.899
TraesCS1A02G024000	11.3216	1.0232	3.899
TraesCS1A02G024100	0	0	0
TraesCS1A02G024200	0	1.6142	0
TraesCS1A02G024300	6.9662	11.9164	0
TraesCS1A02G024600	5.9454	2.4694	11.6674
TraesCS1A02G024700	7.62	7.2734	7.0422
TraesCS1A02G025100	0.004	21.996	27.9404
TraesCS1A02G025200	5.5798	4.679	5.4588
TraesCS1A02G025700	6.5136	4.399	7.1632
TraesCS1A02G025800	0.025	2.5406	5.5026
TraesCS1A02G025900	0	0	0
TraesCS1A02G026300	0.5632	0.499	0.2894
TraesCS1A02G026400	11.0702	0.0104	2.3978
TraesCS1A02G026900	0.0546	1.021	0
TraesCS1A02G027200	7.8722	22.6646	2.58
TraesCS1A02G027300	3.288	2.2646	3.0128
TraesCS1A02G027400	1.2718	6.6022	0.1528
TraesCS1A02G027500	9.86	6.6022	0.1528
TraesCS1A02G027600	11.4098	4.4352	2.1324
TraesCS1A02G027700	7.7524	6.6022	7.3582
TraesCS1A02G027800	3.6454	6.6022	4.0578
TraesCS1A02G028000	1.859	5.3836	0.1528
TraesCS1A02G028100	0.0266	5.7694	0
TraesCS1A02G028300	0	0.0102	0
TraesCS1A02G028400	0.3496	0.312	0.6268
TraesCS1A02G028500	4.646	0.499	2.3978
TraesCS1A02G028600	5.3704	0.312	0.6268
TraesCS1A02G028700	6.479	0.312	0.6268
TraesCS1A02G028900	13.0888	0.0104	2.3978
TraesCS1A02G029100	2.3424	0.3584	3.448
TraesCS1A02G029200	21.4188	19.1388	19.8198
TraesCS1A02G029300	26.2888	6.1002	12.547
TraesCS1A02G029400	0.0332	0.0996	0.009
TraesCS1A02G029900	0.0456	0.0284	0.0428
TraesCS1A02G030100	3.6022	14.7766	6.492
TraesCS1A02G030500	6.197	10.6308	10.073
TraesCS1A02G030600	6.0158	8.753	9.6208
TraesCS1A02G030700	1.6308	2.5606	2.4934
TraesCS1A02G031000	0.0088	0	0.0182
