Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.129267256	0.035834051	0.199311841
TraesCS1A02G001900	0.230702503	0.227132552	0.201407211
TraesCS1A02G002000	0.042871931	0	0.0106437
TraesCS1A02G002100	0.002217562	0.031917454	0.00662103
TraesCS1A02G002200	0.963471394	0.737641624	0.468530563
TraesCS1A02G002300	0.001845356	0.028976885	0.025031517
TraesCS1A02G002500	0.071208855	0.1219549	0.04298648
TraesCS1A02G002700	0.158008979	0.094217934	0.255451321
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0.027110543
TraesCS1A02G004000	NA	NA	0
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0	0.579730813	0
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.004284304	0.030194636
TraesCS1A02G005100	0.002557304	0.418879115	0.014837551
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0.030194636
TraesCS1A02G005500	0.170610735	0.251706937	0.164250582
TraesCS1A02G005600	0.068348788	0.02241736	0.060163562
TraesCS1A02G005700	0.078250168	0.033455447	0.01880509
TraesCS1A02G005800	0.021398091	0.107893715	0.066248198
TraesCS1A02G005900	0.736628052	0.418879115	0.014837551
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.203706355	0.111353056	0.251066879
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0.005845506	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0	NA	0.09654922
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
TraesCS1A02G009000	0.061721518	0.103336426	0.080092721
TraesCS1A02G009100	0	0.004673754	0.132053214
TraesCS1A02G009400	NA	0	NA
TraesCS1A02G009500	NA	0	0
TraesCS1A02G009600	NA	0	NA
TraesCS1A02G009900	NA	0	NA
TraesCS1A02G010100	NA	0	0.005540534
TraesCS1A02G010200	NA	0	NA
TraesCS1A02G010400	0.007752907	0	NA
TraesCS1A02G010600	NA	NA	NA
TraesCS1A02G010800	NA	NA	NA
TraesCS1A02G011200	0	0.008654687	0.059270139
TraesCS1A02G011300	NA	NA	NA
TraesCS1A02G011400	0	NA	0
TraesCS1A02G011800	0.14758921	0.039999754	0.161459019
TraesCS1A02G011900	NA	NA	0
TraesCS1A02G012000	0	NA	0
TraesCS1A02G012100	NA	NA	0
TraesCS1A02G012500	0.016893424	0.001252711	0.014145158
TraesCS1A02G013000	NA	NA	NA
TraesCS1A02G013200	NA	NA	NA
TraesCS1A02G013400	NA	NA	NA
TraesCS1A02G013600	0.03785494	0.264711342	0.003439887
TraesCS1A02G013700	0.065539331	0	0.061199111
TraesCS1A02G013800	0.014278837	0.019265775	0.030090258
TraesCS1A02G014000	NA	NA	NA
TraesCS1A02G014100	NA	0.002790091	NA
TraesCS1A02G014800	NA	0.264711342	0.003439887
TraesCS1A02G015200	0.078257687	0.153542372	0.074238263
TraesCS1A02G015300	0.690275829	0.419827981	0.089886777
TraesCS1A02G015400	0.099188643	0.100449932	0.015063814
TraesCS1A02G015500	NA	0	0
TraesCS1A02G015600	NA	NA	0.001860933
TraesCS1A02G015700	NA	NA	0
TraesCS1A02G015800	NA	0	NA
TraesCS1A02G016300	NA	NA	NA
TraesCS1A02G016800	NA	NA	NA
TraesCS1A02G016900	0.072398288	0.070075546	0.088618534
TraesCS1A02G017000	0.008471552	0.015202983	0.01999081
TraesCS1A02G017300	NA	0.004535493	NA
TraesCS1A02G017400	NA	0.004535493	NA
TraesCS1A02G017700	NA	NA	NA
TraesCS1A02G017900	0	0	0
TraesCS1A02G018000	NA	NA	NA
TraesCS1A02G018100	0.007283873	0.011713208	0
TraesCS1A02G018500	0.007983344	NA	NA
TraesCS1A02G018600	NA	NA	NA
TraesCS1A02G018700	NA	NA	0
TraesCS1A02G018800	0	NA	0
TraesCS1A02G018900	0.1152284	0.098680434	0.085044066
TraesCS1A02G019000	1.299311296	0.844112302	0.734844466
TraesCS1A02G019200	0.100666313	0.151042355	0.057494772
TraesCS1A02G019300	NA	NA	0
TraesCS1A02G019400	NA	0.000979332	0.008631243
TraesCS1A02G019600	NA	NA	NA
TraesCS1A02G019700	NA	NA	NA
TraesCS1A02G019800	NA	NA	NA
TraesCS1A02G019900	NA	NA	NA
TraesCS1A02G020000	NA	NA	NA
TraesCS1A02G020200	NA	NA	NA
TraesCS1A02G020300	0.056875626	0.171208414	0
TraesCS1A02G020400	0.022512494	0.006239937	0
TraesCS1A02G020500	1.10716506	1.136805841	0.025557572
TraesCS1A02G020600	0.115518421	0.024805926	0.004223361
TraesCS1A02G020700	0.0039371	0	NA
