Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.061322587	0.017204004	0.06150535
TraesCS1A02G001900	0.238365284	0.199948482	0.256011158
TraesCS1A02G002000	0.036518678	0.003184171	0.004895197
TraesCS1A02G002100	0.003120472	0.009873869	0.004899112
TraesCS1A02G002200	1.191971066	0.813241546	0.353342021
TraesCS1A02G002300	0	0.013471712	0.007077428
TraesCS1A02G002500	0.191108062	0.165097403	0.03873199
TraesCS1A02G002700	0.229367511	0.070229573	0.260634355
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0
TraesCS1A02G004000	NA	NA	0
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0.000772469	0.605259497	0.001588342
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.010131483	0.012402626
TraesCS1A02G005100	0.000458603	1.000161067	0.011853148
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0.012402626
TraesCS1A02G005500	0.16845594	0.346809593	0.227940982
TraesCS1A02G005600	0.097517461	0.017510669	0.059818684
TraesCS1A02G005700	0.044792864	0.033195583	0.02149481
TraesCS1A02G005800	0.010555552	0.078784227	0.092046288
TraesCS1A02G005900	1.2327524	1.000161067	0.011853148
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.186042521	0.117120057	0.174250069
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0.001884257	0.000714667	NA
TraesCS1A02G008300	NA	0.000714667	NA
TraesCS1A02G008400	0.00107653	NA	0.041261408
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
TraesCS1A02G009000	0.042368457	0.093877333	0.083641793
