Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	13.25216667	19.2555	21.88416667
TraesCS1A02G001900	0	0	0
TraesCS1A02G002000	6.828666667	7.057333333	5.8225
TraesCS1A02G002100	12.947	0	0
TraesCS1A02G002200	40.7075	57.60783333	0
TraesCS1A02G002300	2.044333333	0.005333333	2.968
TraesCS1A02G002500	4.528	0.130166667	0.012833333
TraesCS1A02G002700	35.92333333	0.105833333	0
TraesCS1A02G002800	0	0	0
TraesCS1A02G003546	0.0085	0	6.415166667
TraesCS1A02G004000	0.031833333	0.0205	0.274333333
TraesCS1A02G004100	0.0645	0	0.006666667
TraesCS1A02G004200	35.21733333	11.03966667	25.31216667
TraesCS1A02G004300	0	0	0
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	0	0	0
TraesCS1A02G004700	0	0	0
TraesCS1A02G004900	1.931333333	0.649333333	5.911833333
TraesCS1A02G005100	4.315333333	6.318166667	13.39666667
TraesCS1A02G005200	0.017333333	0	0
TraesCS1A02G005300	1.195166667	1.533333333	5.911833333
TraesCS1A02G005500	13.7425	19.465	23.444
TraesCS1A02G005600	0	0	0.135833333
TraesCS1A02G005700	76.741	52.29533333	0
TraesCS1A02G005800	0.0055	1.638166667	0.008166667
TraesCS1A02G005900	6.619333333	6.318166667	13.39666667
TraesCS1A02G006000	0.009	0.0185	0
TraesCS1A02G006100	0	0	0
TraesCS1A02G006200	0.003833333	0.008833333	0
TraesCS1A02G006300	0.014666667	0.008833333	0
TraesCS1A02G006500	0	0	0
TraesCS1A02G006700	0.028166667	0	0.268333333
TraesCS1A02G006800	0.024333333	0	0
TraesCS1A02G006900	0.008666667	0.1235	0
TraesCS1A02G007000	0	0	0
TraesCS1A02G007100	0	0.004333333	0
TraesCS1A02G007500	32.87416667	25.39283333	0
TraesCS1A02G007600	0	0	0.045
TraesCS1A02G008100	1.185666667	0	0.153
TraesCS1A02G008300	0.015333333	0	0.153
TraesCS1A02G008400	0.5455	0.042666667	5.655833333
TraesCS1A02G008800	0	0	0
TraesCS1A02G008900	0	0	0
TraesCS1A02G009000	0	14.91566667	0
TraesCS1A02G009100	19.8145	1.574	12.775
TraesCS1A02G009400	0.979666667	0	0.172166667
TraesCS1A02G009500	0	0	0.144
TraesCS1A02G009600	0.1035	1.6135	0.022
TraesCS1A02G009900	6.892333333	0.304333333	0.006666667
TraesCS1A02G010100	0.485333333	0.243	11.63733333
TraesCS1A02G010200	0.039833333	0.027833333	0.0655
TraesCS1A02G010400	10.36433333	0	0.153
TraesCS1A02G010600	0	0.036166667	0
TraesCS1A02G010800	0	0	0
TraesCS1A02G011200	0.0315	0.004666667	0
TraesCS1A02G011300	0	0	0
TraesCS1A02G011400	0.026333333	0	0.018166667
TraesCS1A02G011800	25.66	10.1675	29.3265
TraesCS1A02G011900	0.008	0	0.893
TraesCS1A02G012000	1.0075	0	0.893
TraesCS1A02G012100	0.291333333	0	0.893
TraesCS1A02G012500	0	0	9.098166667
TraesCS1A02G013000	0.0015	0.028166667	0
TraesCS1A02G013200	0	0	0.002166667
TraesCS1A02G013400	0	0.0115	0
TraesCS1A02G013600	22.3155	96.10816667	8.779666667
TraesCS1A02G013700	4.469166667	2.138833333	4.690333333
TraesCS1A02G013800	0.538666667	0.004166667	0.049833333
TraesCS1A02G014000	0	0	0
TraesCS1A02G014100	0.144333333	0.268166667	0
TraesCS1A02G014800	2.169333333	96.10816667	8.779666667
TraesCS1A02G015200	0.006333333	0	0.1
TraesCS1A02G015300	6.745833333	0	5.398166667
TraesCS1A02G015400	6.296166667	6.6605	5.996166667
TraesCS1A02G015500	0	0.0055	0.056666667
TraesCS1A02G015600	0	0.003833333	0.0035
TraesCS1A02G015700	0	0.003833333	0
TraesCS1A02G015800	0	0.004166667	0.030666667
TraesCS1A02G016300	0.005	0	0
TraesCS1A02G016800	0.005333333	0	0
TraesCS1A02G016900	0.046666667	0	0
TraesCS1A02G017000	10.09333333	0.0425	0
