Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	5.7945	2.0735	3.616
TraesCS1A02G001900	0	0	0
TraesCS1A02G002000	5.6405	0.803	3.239
TraesCS1A02G002100	22.9575	0	0
TraesCS1A02G002200	14.9825	0.0465	0
TraesCS1A02G002300	2.236	0	4.552
TraesCS1A02G002500	5.3795	0.0075	0
TraesCS1A02G002700	35.7735	0	0
TraesCS1A02G002800	0	0	0
TraesCS1A02G003546	0	0	7.1165
TraesCS1A02G004000	0	0.007	0.3825
TraesCS1A02G004100	0	0	0
TraesCS1A02G004200	40.945	1.316	11.574
TraesCS1A02G004300	0	0	0
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	0	0	0
TraesCS1A02G004700	0	0	0
TraesCS1A02G004900	7.7995	0	8.292
TraesCS1A02G005100	2.7385	1.0205	2.3595
TraesCS1A02G005200	0	0	0.0235
TraesCS1A02G005300	0.269	0.0335	8.292
TraesCS1A02G005500	11.2585	6.496	23.0145
TraesCS1A02G005600	0	0	0.036
TraesCS1A02G005700	122.953	2.5545	0
TraesCS1A02G005800	0	0.0475	0
TraesCS1A02G005900	11.126	1.0205	2.3595
TraesCS1A02G006000	0	0	0.0235
TraesCS1A02G006100	0	0	0
TraesCS1A02G006200	0	0	0.0235
TraesCS1A02G006300	0	0	0.0235
TraesCS1A02G006500	0	0	0.011
TraesCS1A02G006700	0	0	0.22
TraesCS1A02G006800	0.0065	0	0.0235
TraesCS1A02G006900	0	0	0.011
TraesCS1A02G007000	0	0	0.011
TraesCS1A02G007100	0	0	0.011
TraesCS1A02G007500	20.6575	3.9865	0
TraesCS1A02G007600	0	0	0
TraesCS1A02G008100	0.8655	0	0.685
TraesCS1A02G008300	0	0	0.685
TraesCS1A02G008400	0	0	0.7075
TraesCS1A02G008800	0	0	0
TraesCS1A02G008900	0	0	0
TraesCS1A02G009000	0	1.682	0
TraesCS1A02G009100	2.104	1.991	7.8585
TraesCS1A02G009400	0.005	0	0.656
TraesCS1A02G009500	0	0	0.0735
TraesCS1A02G009600	0	0.1935	0.0665
TraesCS1A02G009900	0	0.9025	0
TraesCS1A02G010100	0.571	0.1415	14.4315
TraesCS1A02G010200	0	0	0.263
TraesCS1A02G010400	0.109	0	0.685
TraesCS1A02G010600	0	0.025	0
TraesCS1A02G010800	0	0	0
TraesCS1A02G011200	0	0	0
TraesCS1A02G011300	0	0	0
TraesCS1A02G011400	0	0	0
TraesCS1A02G011800	6.586	1.346	17.246
TraesCS1A02G011900	0	0	1.261
TraesCS1A02G012000	0.318	0	1.261
TraesCS1A02G012100	0.083	0	1.261
TraesCS1A02G012500	0	0	12.3905
TraesCS1A02G013000	0	0	0
TraesCS1A02G013200	0	0	0
TraesCS1A02G013400	0	0	0
TraesCS1A02G013600	2.8305	0.287	9.372
TraesCS1A02G013700	8.9635	0.262	6.9895
TraesCS1A02G013800	0.054	0	0.0105
TraesCS1A02G014000	0	0	0
TraesCS1A02G014100	0	0	0
TraesCS1A02G014800	0.092	0.287	9.372
TraesCS1A02G015200	0	0	0.162
TraesCS1A02G015300	9.8575	0	8.79
TraesCS1A02G015400	2.18	0.1635	3.7285
TraesCS1A02G015500	0	0	0
TraesCS1A02G015600	0.046	0	0
TraesCS1A02G015700	0	0	0.019
TraesCS1A02G015800	0.0275	0	0
TraesCS1A02G016300	0	0	0
TraesCS1A02G016800	0	0	0
TraesCS1A02G016900	0	0	0
TraesCS1A02G017000	19.195	0	0.0225
TraesCS1A02G017300	0	0	0
TraesCS1A02G017400	0	0	0
TraesCS1A02G017700	0	0	0
TraesCS1A02G017900	0.1265	0.248	0.407
TraesCS1A02G018000	0.0845	0.222	0.3435
TraesCS1A02G018100	0.7915	0.413	0.0345
TraesCS1A02G018500	0.9245	1.0795	0.9055
TraesCS1A02G018600	0.057	0.222	0.3435
TraesCS1A02G018700	0	0	0.018
TraesCS1A02G018800	0	0	0.122
TraesCS1A02G018900	38.575	5.386	19.911
TraesCS1A02G019000	16.3105	2.368	18.0745
TraesCS1A02G019200	12.883	3.135	14.2485
TraesCS1A02G019300	0	0	0
TraesCS1A02G019400	0	0	0.221
TraesCS1A02G019600	0	0	0
TraesCS1A02G019700	0	0	0
