Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.086471751	0.017089546	0.089971421
TraesCS1A02G001900	0.218661834	0.246711442	0.208096903
TraesCS1A02G002000	0.040141559	0.000386208	0.008485395
TraesCS1A02G002100	0.003759185	0.025136487	0.002881487
TraesCS1A02G002200	0.907954258	0.697335005	0.325694955
TraesCS1A02G002300	0.005597032	0.014955167	0.018219353
TraesCS1A02G002500	0.132052563	0.191074138	0.035392156
TraesCS1A02G002700	0.197237595	0.086176782	0.232771037
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0.009142951
TraesCS1A02G004000	NA	NA	0.000858638
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0.008465872	0.591235252	0.00097927
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.009886237	0.015572074
TraesCS1A02G005100	0.000295002	0.543314021	0.071199231
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0.015572074
TraesCS1A02G005500	0.141536773	0.271943494	0.204665395
TraesCS1A02G005600	0.110642882	0.025424161	0.05910082
TraesCS1A02G005700	0.066486338	0.046101671	0.024463553
TraesCS1A02G005800	0.031593366	0.09835684	0.068195681
TraesCS1A02G005900	0.727969792	0.543314021	0.071199231
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.191335918	0.136159688	0.239078878
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0.002439514	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0	NA	0.065855095
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
TraesCS1A02G009000	0.068666175	0.106200983	0.068913097
TraesCS1A02G009100	0	0.003838818	0.171665821
TraesCS1A02G009400	NA	0	NA
TraesCS1A02G009500	NA	0	0
TraesCS1A02G009600	NA	0.001217129	NA
TraesCS1A02G009900	NA	0	NA
TraesCS1A02G010100	NA	0	0.001043762
TraesCS1A02G010200	NA	0	NA
TraesCS1A02G010400	0.005943021	0	NA
TraesCS1A02G010600	NA	NA	NA
TraesCS1A02G010800	NA	NA	NA
TraesCS1A02G011200	0	0.013270133	0.038916499
TraesCS1A02G011300	NA	NA	NA
TraesCS1A02G011400	0	NA	0
TraesCS1A02G011800	0.080037355	0.016492209	0.08620399
TraesCS1A02G011900	NA	NA	0
TraesCS1A02G012000	0	NA	0
TraesCS1A02G012100	NA	NA	0
TraesCS1A02G012500	0.040606668	0.008754954	0.031257891
TraesCS1A02G013000	NA	NA	NA
TraesCS1A02G013200	NA	NA	NA
TraesCS1A02G013400	NA	NA	NA
TraesCS1A02G013600	0.033484408	0.371213396	0.006715162
TraesCS1A02G013700	0.055729861	0.00391045	0.041185229
TraesCS1A02G013800	0.018242289	0.015130324	0.017833835
TraesCS1A02G014000	NA	NA	NA
TraesCS1A02G014100	NA	0.002491904	NA
TraesCS1A02G014800	NA	0.371213396	0.006715162
TraesCS1A02G015200	0.045742033	0.12004832	0.065681604
TraesCS1A02G015300	0.801874984	0.552602774	0.140984815
TraesCS1A02G015400	0.069162758	0.035220788	0.016265149
TraesCS1A02G015500	NA	0	0.002076445
TraesCS1A02G015600	NA	NA	0
TraesCS1A02G015700	NA	NA	0.001596109
TraesCS1A02G015800	NA	0	NA
TraesCS1A02G016300	NA	NA	NA
TraesCS1A02G016800	NA	NA	NA
TraesCS1A02G016900	0.063933059	0.067550822	0.074361424
TraesCS1A02G017000	0.019908952	0.034614695	0.026365915
TraesCS1A02G017300	NA	0	NA
TraesCS1A02G017400	NA	0	NA
TraesCS1A02G017700	NA	NA	NA
TraesCS1A02G017900	0	0.001481164	0.000594336
TraesCS1A02G018000	NA	NA	NA
TraesCS1A02G018100	0.002314004	0.010741371	0.000562341
TraesCS1A02G018500	0.002984265	NA	NA
TraesCS1A02G018600	NA	NA	NA
TraesCS1A02G018700	NA	NA	0
TraesCS1A02G018800	0.001745691	NA	0
TraesCS1A02G018900	0.083706317	0.142997237	0.10106255
TraesCS1A02G019000	1.340066126	0.825908416	0.829406275
TraesCS1A02G019200	0.092196735	0.114313208	0.068731805
TraesCS1A02G019300	NA	NA	0
TraesCS1A02G019400	NA	0.008876038	0
TraesCS1A02G019600	NA	NA	NA
TraesCS1A02G019700	NA	NA	NA
TraesCS1A02G019800	NA	NA	NA
TraesCS1A02G019900	NA	NA	NA
TraesCS1A02G020000	NA	NA	NA
TraesCS1A02G020200	NA	NA	NA
TraesCS1A02G020300	0.060903819	0.115198304	0
TraesCS1A02G020400	0.009196175	0.009595236	0
TraesCS1A02G020500	0.939854657	0.885192394	0.052202538
TraesCS1A02G020600	0.097128278	0.034301197	0.003056467
TraesCS1A02G020700	0.005106098	0	NA
TraesCS1A02G020800	NA	NA	NA
TraesCS1A02G021000	0	0	NA
TraesCS1A02G021400	NA	0	NA
TraesCS1A02G021500	NA	NA	NA
TraesCS1A02G021600	NA	NA	NA
TraesCS1A02G021700	0.023717481	NA	NA
TraesCS1A02G021900	NA	NA	NA
TraesCS1A02G022000	NA	NA	0.013440242
TraesCS1A02G022400	NA	NA	NA
TraesCS1A02G022600	NA	0	1.504483725
TraesCS1A02G022900	NA	NA	NA
TraesCS1A02G023205	0	0.004327843	0
TraesCS1A02G023300	0	0.000527959	NA
TraesCS1A02G023400	0.117803778	0.118847337	0.009705489
TraesCS1A02G023600	NA	NA	NA
TraesCS1A02G023700	NA	NA	NA
TraesCS1A02G023800	0.048810139	0.000217638	0.000927647
TraesCS1A02G023900	NA	0	NA
TraesCS1A02G024000	NA	0	NA
TraesCS1A02G024100	NA	NA	NA
