Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	12.73328571	13.97342857	21.679
TraesCS1A02G001900	0	0	0
TraesCS1A02G002000	7.134	6.599857143	6.297714286
TraesCS1A02G002100	16.64414286	0	0
TraesCS1A02G002200	33.41485714	46.15928571	0
TraesCS1A02G002300	1.748	0.006714286	3.241428571
TraesCS1A02G002500	4.634285714	0.122285714	0.009714286
TraesCS1A02G002700	38.30757143	0.128571429	0
TraesCS1A02G002800	0	0.005714286	0
TraesCS1A02G003546	0.038571429	0	10.25528571
TraesCS1A02G004000	0.002571429	0.008571429	0.170142857
TraesCS1A02G004100	0.108428571	0	0.007857143
TraesCS1A02G004200	35.88742857	9.299285714	25.83914286
TraesCS1A02G004300	0	0	0
TraesCS1A02G004400	0	0	0.004142857
TraesCS1A02G004600	0	0	0
TraesCS1A02G004700	0	0	0
TraesCS1A02G004900	2.764	0.699	6.641857143
TraesCS1A02G005100	3.705714286	7.056142857	12.69257143
TraesCS1A02G005200	0.030285714	0	0.032285714
TraesCS1A02G005300	1.096857143	1.493285714	6.641857143
TraesCS1A02G005500	13.53728571	22.18185714	24.19328571
TraesCS1A02G005600	0	0	0.113571429
TraesCS1A02G005700	74.04514286	37.42314286	0
TraesCS1A02G005800	0.001571429	1.758714286	0.010142857
TraesCS1A02G005900	7.676285714	7.056142857	12.69257143
TraesCS1A02G006000	0.002285714	0	0.032285714
TraesCS1A02G006100	0	0	0
TraesCS1A02G006200	0.006	0.007857143	0.032285714
TraesCS1A02G006300	0.034142857	0.007857143	0.032285714
TraesCS1A02G006500	0	0	0.012285714
TraesCS1A02G006700	0.010714286	0.001142857	0.174857143
TraesCS1A02G006800	0.008571429	0	0.032285714
TraesCS1A02G006900	0.008	0.089285714	0.012285714
TraesCS1A02G007000	0	0	0.012285714
TraesCS1A02G007100	0	0.003857143	0.012285714
TraesCS1A02G007500	28.35542857	20.27914286	0
TraesCS1A02G007600	0	0	0
TraesCS1A02G008100	1.026714286	0	0.104571429
TraesCS1A02G008300	0.023571429	0	0.104571429
TraesCS1A02G008400	0.286714286	0.045857143	13.49585714
TraesCS1A02G008800	0	0	0
TraesCS1A02G008900	0	0	0
TraesCS1A02G009000	0	12.90085714	0
TraesCS1A02G009100	17.41342857	1.391285714	12.28928571
TraesCS1A02G009400	0.563571429	0	0.131
TraesCS1A02G009500	0	0	0.043571429
TraesCS1A02G009600	0.108428571	1.409714286	0.003571429
TraesCS1A02G009900	7.603285714	0.399571429	0.007857143
TraesCS1A02G010100	0.328285714	0.238857143	8.506571429
TraesCS1A02G010200	0.063428571	0.055142857	0.067428571
TraesCS1A02G010400	7.308571429	0	0.104571429
TraesCS1A02G010600	0	0	0.003428571
TraesCS1A02G010800	0	0	0.003428571
TraesCS1A02G011200	0.062857143	0.032428571	0
TraesCS1A02G011300	0	0	0.003428571
TraesCS1A02G011400	0.018285714	0.023571429	0.004857143
TraesCS1A02G011800	17.562	7.918714286	22.96528571
TraesCS1A02G011900	0.009	0	0.964571429
TraesCS1A02G012000	0.78	0	0.964571429
TraesCS1A02G012100	0.389142857	0	0.964571429
TraesCS1A02G012500	0	0	10.57014286
TraesCS1A02G013000	0	0.060428571	0
TraesCS1A02G013200	0.003571429	0	0.001714286
TraesCS1A02G013400	0	0	0
TraesCS1A02G013600	17.954	120.1854286	8.439285714
TraesCS1A02G013700	5.043428571	2.299571429	4.747857143
TraesCS1A02G013800	0.344142857	0.001142857	0.054
TraesCS1A02G014000	0	0	0.007
TraesCS1A02G014100	0	0.113571429	0.007
TraesCS1A02G014800	1.707857143	120.1854286	8.439285714
TraesCS1A02G015200	0.002142857	0	0.099571429
TraesCS1A02G015300	8.793571429	0	7.672285714
TraesCS1A02G015400	5.153571429	5.154571429	5.099571429
TraesCS1A02G015500	0.010571429	0	0.072571429
TraesCS1A02G015600	0	0	0
TraesCS1A02G015700	0.006714286	0	0.034428571
TraesCS1A02G015800	0.009714286	0	0.004857143
TraesCS1A02G016300	0	0.004285714	0.004285714
TraesCS1A02G016800	0.017428571	0	0
TraesCS1A02G016900	0.034428571	0	0
TraesCS1A02G017000	10.71014286	0.053285714	0.009142857
TraesCS1A02G017300	0	0	0
TraesCS1A02G017400	0	0	0
TraesCS1A02G017700	0	0	0.002
TraesCS1A02G017900	0.067428571	0.196714286	0.38
TraesCS1A02G018000	0.018714286	0.073857143	0.168857143
TraesCS1A02G018100	0.069285714	0.057571429	0.011
TraesCS1A02G018500	0.646	0.377571429	0.475857143
TraesCS1A02G018600	0.004571429	0.073857143	0.168857143
TraesCS1A02G018700	0.003	0.003	0.026571429
TraesCS1A02G018800	0	0.089857143	0.109428571
TraesCS1A02G018900	25.88685714	12.53671429	17.15985714
TraesCS1A02G019000	34.37614286	24.39071429	29.83042857
TraesCS1A02G019200	13.50585714	5.320142857	9.732428571
TraesCS1A02G019300	0	0	0
TraesCS1A02G019400	0	1.006285714	0.088714286
TraesCS1A02G019600	0	0	0.004714286
TraesCS1A02G019700	0	0	0.003428571
TraesCS1A02G019800	0	0	0.003428571
