Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	9.9658	11.7602	15.3226
TraesCS1A02G001900	0	0	0
TraesCS1A02G002000	6.3088	5.2402	5.2988
TraesCS1A02G002100	16.8388	0	0
TraesCS1A02G002200	39.9388	50.5646	0
TraesCS1A02G002300	1.8386	0.0032	3.6054
TraesCS1A02G002500	5.4602	0.1076	0
TraesCS1A02G002700	32.2634	0	0
TraesCS1A02G002800	0	0	0
TraesCS1A02G003546	0	0	9.1538
TraesCS1A02G004000	0.0222	0.0214	0.3524
TraesCS1A02G004100	0.0076	0	0
TraesCS1A02G004200	37.0148	7.7662	21.3074
TraesCS1A02G004300	0	0	0
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	0	0	0
TraesCS1A02G004700	0	0	0
TraesCS1A02G004900	3.5106	0.034	6.67
TraesCS1A02G005100	3.0384	3.8448	9.0288
TraesCS1A02G005200	0	0	0.0118
TraesCS1A02G005300	0.2826	0.1414	6.67
TraesCS1A02G005500	12.0164	14.5316	20.4948
TraesCS1A02G005600	0	0	0.0906
TraesCS1A02G005700	71.7578	28.6314	0.0038
TraesCS1A02G005800	0.0022	1.1416	0.016
TraesCS1A02G005900	6.0918	3.8448	9.0288
TraesCS1A02G006000	0	0	0.0118
TraesCS1A02G006100	0	0	0
TraesCS1A02G006200	0	0	0.0118
TraesCS1A02G006300	0	0	0.0118
TraesCS1A02G006500	0.0058	0	0.0074
TraesCS1A02G006700	0.0078	0	0.2188
TraesCS1A02G006800	0	0	0.0118
TraesCS1A02G006900	0	0.128	0.0074
TraesCS1A02G007000	0.0058	0	0.0074
TraesCS1A02G007100	0	0	0.0074
TraesCS1A02G007500	36.2682	24.7396	0
TraesCS1A02G007600	0	0	0
TraesCS1A02G008100	1.2786	0	0.2298
TraesCS1A02G008300	0.018	0	0.2298
TraesCS1A02G008400	0.242	0.0096	8.9196
TraesCS1A02G008800	0	0	0
TraesCS1A02G008900	0	0	0
TraesCS1A02G009000	0	12.5138	0
TraesCS1A02G009100	15.1078	0.746	11.9288
TraesCS1A02G009400	0.6696	0	0.1604
TraesCS1A02G009500	0	0	0.1422
TraesCS1A02G009600	0.1124	1.0972	0.0214
TraesCS1A02G009900	5.901	0.4796	0
TraesCS1A02G010100	0.4138	0.0804	14.3032
TraesCS1A02G010200	0.036	0.043	0.0568
TraesCS1A02G010400	8.5054	0	0.2298
TraesCS1A02G010600	0	0.018	0
TraesCS1A02G010800	0	0	0
TraesCS1A02G011200	0.0252	0.0054	0
TraesCS1A02G011300	0	0	0
TraesCS1A02G011400	0.041	0.0246	0.0072
TraesCS1A02G011800	12.8326	2.422	14.4288
TraesCS1A02G011900	0	0	0.9984
TraesCS1A02G012000	0.7854	0	0.9984
TraesCS1A02G012100	0.2254	0	0.9984
TraesCS1A02G012500	0	0	11.1602
TraesCS1A02G013000	0	0.0438	0.003
TraesCS1A02G013200	0	0	0.0038
TraesCS1A02G013400	0	0	0
TraesCS1A02G013600	15.4156	70.398	5.3132
TraesCS1A02G013700	5.275	1.8204	5.5182
TraesCS1A02G013800	0.37	0.0066	0.0854
TraesCS1A02G014000	0	0	0
TraesCS1A02G014100	0	0.2432	0
TraesCS1A02G014800	0.6444	70.398	5.3132
TraesCS1A02G015200	0.0044	0	0.0922
TraesCS1A02G015300	8.0934	0	7.2888
TraesCS1A02G015400	5.8864	5.7372	5.3396
TraesCS1A02G015500	0.0178	0.013	0.0882
TraesCS1A02G015600	0	0.0044	0
TraesCS1A02G015700	0	0.0044	0.0212
TraesCS1A02G015800	0.0092	0	0.0044
TraesCS1A02G016300	0.003	0.006	0
TraesCS1A02G016800	0.031	0.0086	0
TraesCS1A02G016900	0.0258	0	0
TraesCS1A02G017000	9.7672	0	0.0038
TraesCS1A02G017300	0	0	0
TraesCS1A02G017400	0	0	0
TraesCS1A02G017700	0	0	0.003
TraesCS1A02G017900	0.084	0.0506	0.458
TraesCS1A02G018000	0.018	0.0546	0.1456
TraesCS1A02G018100	0.127	0.1154	0.0204
TraesCS1A02G018500	0.6762	0.5338	0.4588
TraesCS1A02G018600	0.016	0.0546	0.1456
TraesCS1A02G018700	0	0	0.035
TraesCS1A02G018800	0	0.0178	0.1022
TraesCS1A02G018900	26.0588	8.1028	16.5768
TraesCS1A02G019000	31.0794	10.5996	23.251
TraesCS1A02G019200	14.414	2.9012	10.5138
TraesCS1A02G019300	0	0	0
TraesCS1A02G019400	0	1.0538	0.2146
TraesCS1A02G019600	0	0	0.017
TraesCS1A02G019700	0	0	0
TraesCS1A02G019800	0	0	0
TraesCS1A02G019900	0.0064	0	0.022
TraesCS1A02G020000	0.0294	0.0064	0
TraesCS1A02G020200	0.007	0	0
TraesCS1A02G020300	13.912	7.5594	7.126
TraesCS1A02G020400	5.2652	1.341	3.6122
TraesCS1A02G020500	0	44.4456	120.98
TraesCS1A02G020600	7.8982	0.1622	5.4024
TraesCS1A02G020700	2.8016	0.3698	0.5026
TraesCS1A02G020800	0.0036	0	0
TraesCS1A02G021000	0.543	0.039	0
TraesCS1A02G021400	0	0.039	0
TraesCS1A02G021500	0	0	0
TraesCS1A02G021600	0	0	0
TraesCS1A02G021700	5.1336	0	0
TraesCS1A02G021900	0	0	0
TraesCS1A02G022000	0.6778	0	70.0912
TraesCS1A02G022400	0	0	0
TraesCS1A02G022600	8.4634	0.2006	56.2188
TraesCS1A02G022900	0.0188	0	0
TraesCS1A02G023205	0.3426	1.0784	1.6278
TraesCS1A02G023300	0	0	0.0042
TraesCS1A02G023400	0	0.0162	0.0574
TraesCS1A02G023600	0.1446	0.0016	0.0266
TraesCS1A02G023700	0.0072	0	0
TraesCS1A02G023800	0	1.2564	13.2572
TraesCS1A02G023900	0	0.0224	2.2586
TraesCS1A02G024000	0.0484	0.0224	2.2586
TraesCS1A02G024100	0	0.0022	0
TraesCS1A02G024200	0	0.9374	0
TraesCS1A02G024300	5.7252	6.0012	0
TraesCS1A02G024600	7.1366	3.0924	18.509
TraesCS1A02G024700	10.7888	7.7736	9.8966
TraesCS1A02G025100	0.0042	20.5142	38.4988
TraesCS1A02G025200	6.679	3.9418	6.562
TraesCS1A02G025700	6.9432	2.6944	7.6208
TraesCS1A02G025800	0	0.2762	6.655
TraesCS1A02G025900	0	0	0
TraesCS1A02G026300	0.169	0.1366	0.1112
TraesCS1A02G026400	19.8862	4.8248	2.3818
TraesCS1A02G026900	0.0142	0.528	0
TraesCS1A02G027200	12.7788	41.5468	0.961
TraesCS1A02G027300	3.8924	2.0496	3.4808
TraesCS1A02G027400	0.0056	2.2048	0
TraesCS1A02G027500	6.3082	2.2048	0
TraesCS1A02G027600	9.5936	2.9272	1.0434
TraesCS1A02G027700	3.148	2.2048	5.164
TraesCS1A02G027800	1.3656	2.2048	3.6736
TraesCS1A02G028000	0.2676	1.5466	0
TraesCS1A02G028100	0	35.636	0
TraesCS1A02G028300	0	0	0
TraesCS1A02G028400	0.2516	0.6768	1.708
TraesCS1A02G028500	6.4894	0.1366	2.3818
TraesCS1A02G028600	9.788	0.6768	1.708
TraesCS1A02G028700	9.034	0.6768	1.708
TraesCS1A02G028900	17.0156	4.8248	2.3818
TraesCS1A02G029100	2.4748	0.8216	0.3156
TraesCS1A02G029200	22.2544	15.3146	25.3446
TraesCS1A02G029300	15.8564	1.9526	7.2204
TraesCS1A02G029400	0.0028	0	0.0046
TraesCS1A02G029900	0	0	0.01
TraesCS1A02G030100	7.1698	12.7168	10.913
TraesCS1A02G030500	12.112	10.6892	17.234
TraesCS1A02G030600	7.3848	5.7472	12.014
TraesCS1A02G030700	2.218	1.495	3.079
TraesCS1A02G031000	0	0.005	0
TraesCS1A02G031100	0.0474	0	0.0164
TraesCS1A02G031200	4.3268	3.2854	2.4508
TraesCS1A02G031300	0.0098	0.0028	0.0366
TraesCS1A02G031400	2.7978	3.4238	5.6522
TraesCS1A02G031800	0.0222	0	0
TraesCS1A02G031900	0	0.002	0
TraesCS1A02G032000	0	0	0
TraesCS1A02G032200	0	0	0
TraesCS1A02G032300	0	0.0052	0
TraesCS1A02G032400	0	0	0
TraesCS1A02G032700	0	5.9166	11.6322
TraesCS1A02G032900	0.1128	0.0304	0.0708
TraesCS1A02G033000	19.3108	17.7406	26.7746
TraesCS1A02G033100	22.7074	14.1032	11.4356
TraesCS1A02G033300	7.399	5.1558	12.2446
TraesCS1A02G033400	0	0	0
TraesCS1A02G033500	31.9618	26.539	13.6684
TraesCS1A02G033600	39.5712	26.539	13.6684
TraesCS1A02G033800	7.7982	2.8102	3.311
TraesCS1A02G034100	5.3898	1.9526	2.502
TraesCS1A02G034300	0	0	0
TraesCS1A02G034500	0	0	0
TraesCS1A02G034600	0	0	0
TraesCS1A02G034700	0	0	0
TraesCS1A02G034800	0	0	0
TraesCS1A02G034900	0	0	0.0034
TraesCS1A02G035000	13.638	6.5174	6.1422
TraesCS1A02G035200	3.169	0.0038	0
TraesCS1A02G035400	0.5262	0	0
TraesCS1A02G035700	0.0028	0	0.0056
TraesCS1A02G035900	23.1326	2.5088	4.012
TraesCS1A02G036000	0	0	0
TraesCS1A02G036100	0	0	0
TraesCS1A02G036200	2.3238	0.7696	2.3294
TraesCS1A02G036300	10.0182	7.2086	10.5956
TraesCS1A02G036400	0	0	0
TraesCS1A02G036500	4.003	0	0
TraesCS1A02G036700	0.0632	0.0956	0.183
TraesCS1A02G037400	0	0.002	0
TraesCS1A02G037700	0.0488	0	0.0588
TraesCS1A02G037800	0.0204	0	0.0264
TraesCS1A02G037900	18.478	10.2124	17.8814
TraesCS1A02G038100	98.5008	944.4862	675.2962
TraesCS1A02G038200	736.0054	1020.1156	473.4894
TraesCS1A02G038300	4.3102	36.3916	34.7752
TraesCS1A02G038400	0	0	0
TraesCS1A02G039100	0	0	0
TraesCS1A02G039200	11.5232	0	9.1676
TraesCS1A02G039900	0.0276	0.0868	0.0322
TraesCS1A02G040100	0	0	0
