Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	9.509	11.3786	13.7092
TraesCS1A02G001900	0	0	0
TraesCS1A02G002000	4.925	4.1094	3.8494
TraesCS1A02G002100	15.2096	0	0
TraesCS1A02G002200	33.9074	36.4788	0
TraesCS1A02G002300	2.2418	0.0234	4.434
TraesCS1A02G002500	6.1856	0.1186	0
TraesCS1A02G002700	31.5884	0.0044	0
TraesCS1A02G002800	0	0.008	0
TraesCS1A02G003546	0	0	7.9066
TraesCS1A02G004000	0.0386	0.019	0.3106
TraesCS1A02G004100	0.004	0	0
TraesCS1A02G004200	37.5604	7.75	21.4486
TraesCS1A02G004300	0	0	0
TraesCS1A02G004400	0	0	0.0084
TraesCS1A02G004600	0	0.0052	0
TraesCS1A02G004700	0	0	0
TraesCS1A02G004900	3.4428	0.0384	6.0596
TraesCS1A02G005100	4.008	3.9638	10.8312
TraesCS1A02G005200	0	0	0.0058
TraesCS1A02G005300	0.3052	0.091	6.0596
TraesCS1A02G005500	11.1368	11.5996	20.2662
TraesCS1A02G005600	0	0	0.0736
TraesCS1A02G005700	87.9926	36.8998	0
TraesCS1A02G005800	0.0048	0.8026	0.0076
TraesCS1A02G005900	6.135	3.9638	10.8312
TraesCS1A02G006000	0.007	0	0.0058
TraesCS1A02G006100	0	0	0
TraesCS1A02G006200	0.002	0	0.0058
TraesCS1A02G006300	0	0	0.0058
TraesCS1A02G006500	0	0	0.0114
TraesCS1A02G006700	0.002	0	0.2756
TraesCS1A02G006800	0.0024	0	0.0058
TraesCS1A02G006900	0	0.238	0.0114
TraesCS1A02G007000	0	0	0.0114
TraesCS1A02G007100	0	0	0.0114
TraesCS1A02G007500	35.3322	24.3914	0
TraesCS1A02G007600	0	0	0
TraesCS1A02G008100	1.379	0	0.2082
TraesCS1A02G008300	0.0218	0	0.2082
TraesCS1A02G008400	0.0484	0.0154	5.7154
TraesCS1A02G008800	0	0	0
TraesCS1A02G008900	0	0	0
TraesCS1A02G009000	0	13.482	0
TraesCS1A02G009100	13.8092	0.8236	11.7908
TraesCS1A02G009400	0.9366	0	0.2306
TraesCS1A02G009500	0	0	0.1208
TraesCS1A02G009600	0.107	1.0638	0.0084
TraesCS1A02G009900	5.9686	0.3724	0
TraesCS1A02G010100	0.5358	0.0956	13.4818
TraesCS1A02G010200	0.0382	0.0234	0.1034
TraesCS1A02G010400	9.8118	0	0.2082
TraesCS1A02G010600	0	0.0384	0
TraesCS1A02G010800	0	0	0
TraesCS1A02G011200	0.0284	0.0112	0
TraesCS1A02G011300	0	0	0
TraesCS1A02G011400	0	0.0088	0
TraesCS1A02G011800	15.944	3.8734	19.9818
TraesCS1A02G011900	0.007	0	1.0524
TraesCS1A02G012000	0.8466	0	1.0524
TraesCS1A02G012100	0.2038	0	1.0524
TraesCS1A02G012500	0	0	10.6422
TraesCS1A02G013000	0	0.0464	0
TraesCS1A02G013200	0	0	0.0054
TraesCS1A02G013400	0	0	0
TraesCS1A02G013600	31.0936	63.6744	8.421
TraesCS1A02G013700	5.9814	1.6886	4.7596
TraesCS1A02G013800	0.2906	0.0018	0.0448
TraesCS1A02G014000	0	0	0
TraesCS1A02G014100	0	0.086	0
TraesCS1A02G014800	2.145	63.6744	8.421
TraesCS1A02G015200	0.0032	0	0.0954
TraesCS1A02G015300	8.711	0	7.0102
TraesCS1A02G015400	5.3406	5.3048	5.0802
TraesCS1A02G015500	0	0.0134	0.005
TraesCS1A02G015600	0.0196	0	0
TraesCS1A02G015700	0.0052	0	0.0068
TraesCS1A02G015800	0.0232	0.0148	0.0096
TraesCS1A02G016300	0.0032	0	0
TraesCS1A02G016800	0	0	0
TraesCS1A02G016900	0.0376	0	0
TraesCS1A02G017000	11.1152	0	0
TraesCS1A02G017300	0	0	0
TraesCS1A02G017400	0	0	0
TraesCS1A02G017700	0.0064	0	0
TraesCS1A02G017900	0.0848	0.0294	0.3712
TraesCS1A02G018000	0.019	0.0468	0.1746
TraesCS1A02G018100	0.3708	0.2402	0.027
TraesCS1A02G018500	0.678	0.5638	0.4396
TraesCS1A02G018600	0.031	0.0468	0.1746
TraesCS1A02G018700	0.0044	0.0044	0.0574
TraesCS1A02G018800	0	0.0792	0.0552
TraesCS1A02G018900	27.632	8.6784	17.1704
TraesCS1A02G019000	25.2046	8.5594	21.974
TraesCS1A02G019200	14.379	2.4964	10.9888
TraesCS1A02G019300	0	0	0
TraesCS1A02G019400	0	1.0046	0.1776
TraesCS1A02G019600	0	0	0.0286
TraesCS1A02G019700	0	0	0.005
TraesCS1A02G019800	0.014	0	0.005
TraesCS1A02G019900	0.0126	0	0.0074
TraesCS1A02G020000	0.625	0.0646	0
TraesCS1A02G020200	0	0	0.005
TraesCS1A02G020300	13.4576	6.5562	6.0786
TraesCS1A02G020400	5.5706	1.6234	4.2582
TraesCS1A02G020500	0	45.2062	116.5256
TraesCS1A02G020600	7.5826	0.0942	5.463
TraesCS1A02G020700	3.2424	0.5156	0.5916
TraesCS1A02G020800	0.0118	0	0
TraesCS1A02G021000	0.129	0.021	0
TraesCS1A02G021400	0.073	0.021	0
TraesCS1A02G021500	0	0	0
TraesCS1A02G021600	0	0	0
TraesCS1A02G021700	5.9478	0	0
TraesCS1A02G021900	0	0	0
TraesCS1A02G022000	0.239	0	21.4278
TraesCS1A02G022400	0	0	0
TraesCS1A02G022600	8.079	0.2268	42.8608
TraesCS1A02G022900	0	0	0.0396
TraesCS1A02G023205	0.4102	1.3898	2.1468
TraesCS1A02G023300	0.014	0	0
TraesCS1A02G023400	0	0.028	0.0952
TraesCS1A02G023600	0.108	0.01	0.0188
TraesCS1A02G023700	0.0472	0	0
TraesCS1A02G023800	0	1.1058	11.1022
TraesCS1A02G023900	0.0084	0.0238	1.7158
TraesCS1A02G024000	0.0332	0.0238	1.7158
TraesCS1A02G024100	0	0	0.0048
TraesCS1A02G024200	0	1.0134	0
TraesCS1A02G024300	4.6874	4.8844	0
TraesCS1A02G024600	4.3372	3.2356	14.5774
TraesCS1A02G024700	10.194	7.5336	9.6164
TraesCS1A02G025100	0	21.6796	37.9164
TraesCS1A02G025200	6.642	3.4338	6.2154
TraesCS1A02G025700	6.701	2.298	7.1132
TraesCS1A02G025800	0.0092	0.2128	2.5778
TraesCS1A02G025900	0	0	0
TraesCS1A02G026300	0.2038	0.174	0.1402
TraesCS1A02G026400	20.9584	4.3912	2.749
TraesCS1A02G026900	0.0226	0.5538	0
