Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.097773863	0.028153467	0.116021008
TraesCS1A02G001900	0.193053174	0.199327043	0.214165688
TraesCS1A02G002000	0.045515057	0.000463942	0.012316085
TraesCS1A02G002100	0.003537725	0.026411832	0.00220693
TraesCS1A02G002200	0.931914607	0.700898073	0.338303286
TraesCS1A02G002300	0.004622147	0.013502747	0.018869805
TraesCS1A02G002500	0.089590066	0.129869281	0.011931615
TraesCS1A02G002700	0.165295655	0.054124331	0.175861898
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0.008239334
TraesCS1A02G004000	NA	NA	0.000452939
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0.002085978	0.620838817	0.000556066
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.005029598	0.029642331
TraesCS1A02G005100	0.000137198	0.475203465	0.013328654
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0.029642331
TraesCS1A02G005500	0.1096118	0.220147204	0.169507163
TraesCS1A02G005600	0.111504653	0.024425478	0.052837933
TraesCS1A02G005700	0.128162267	0.075330065	0.088805331
TraesCS1A02G005800	0.018877735	0.107925976	0.060965551
TraesCS1A02G005900	0.659818763	0.475203465	0.013328654
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0.000144312
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0.000424632	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.162008283	0.145390776	0.184740262
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0.001180164	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0.001349028	NA	0.061302558
