Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	9.2315	14.959	20.1145
TraesCS1A02G001900	0	0	0
TraesCS1A02G002000	6.026	7.736	6.7815
TraesCS1A02G002100	13.6555	0	0
TraesCS1A02G002200	42.951	71.332	0
TraesCS1A02G002300	1.104	0	2.002
TraesCS1A02G002500	4.3295	0.194	0
TraesCS1A02G002700	36.4835	0	0
TraesCS1A02G002800	0	0	0
TraesCS1A02G003546	0	0	6.1135
TraesCS1A02G004000	0.009	0	0.077
TraesCS1A02G004100	0.027	0	0
TraesCS1A02G004200	22.762	10.1185	21.6635
TraesCS1A02G004300	0	0	0
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	0	0	0
TraesCS1A02G004700	0	0	0
TraesCS1A02G004900	0.0525	0.0505	5.805
TraesCS1A02G005100	5.8815	9.0795	22.63
TraesCS1A02G005200	0	0	0
TraesCS1A02G005300	0.2295	0.1605	5.805
TraesCS1A02G005500	13.968	23.711	20.389
TraesCS1A02G005600	0	0	0.1135
TraesCS1A02G005700	65.8145	60.35	0
TraesCS1A02G005800	0.0105	1.96	0.0175
TraesCS1A02G005900	2.489	9.0795	22.63
TraesCS1A02G006000	0	0.0085	0
TraesCS1A02G006100	0	0.0145	0
TraesCS1A02G006200	0	0	0
TraesCS1A02G006300	0.004	0	0
TraesCS1A02G006500	0	0	0
TraesCS1A02G006700	0.0095	0.011	0.066
TraesCS1A02G006800	0	0	0
TraesCS1A02G006900	0	0.009	0
TraesCS1A02G007000	0	0	0
TraesCS1A02G007100	0	0.004	0
TraesCS1A02G007500	40.7505	31.149	0
TraesCS1A02G007600	0	0	0
TraesCS1A02G008100	1.0695	0	0
TraesCS1A02G008300	0.041	0	0
TraesCS1A02G008400	0.0405	0	9.9745
TraesCS1A02G008800	0	0	0
TraesCS1A02G008900	0	0	0
TraesCS1A02G009000	0	20.996	0
TraesCS1A02G009100	23.4865	0	14.503
TraesCS1A02G009400	0.518	0	0.072
TraesCS1A02G009500	0	0	0.057
TraesCS1A02G009600	0.2145	1.0685	0
TraesCS1A02G009900	6.832	0.179	0
TraesCS1A02G010100	0.3095	0.009	6.375
TraesCS1A02G010200	0.0465	0.0345	0
TraesCS1A02G010400	11.1395	0	0
TraesCS1A02G010600	0	0	0
TraesCS1A02G010800	0	0	0
TraesCS1A02G011200	0	0	0
TraesCS1A02G011300	0	0	0
TraesCS1A02G011400	0.038	0.0605	0.0345
TraesCS1A02G011800	9.8175	2.649	9.809
TraesCS1A02G011900	0	0	1.028
TraesCS1A02G012000	1.205	0	1.028
TraesCS1A02G012100	0.437	0	1.028
TraesCS1A02G012500	0	0	8.5775
TraesCS1A02G013000	0	0	0.005
TraesCS1A02G013200	0.006	0	0.012
TraesCS1A02G013400	0	0	0
TraesCS1A02G013600	36.2155	207.767	5.901
TraesCS1A02G013700	3.3715	3.329	5.472
TraesCS1A02G013800	0.394	0	0.073
TraesCS1A02G014000	0	0	0.047
TraesCS1A02G014100	0	0.2855	0.047
TraesCS1A02G014800	0.352	207.767	5.901
TraesCS1A02G015200	0	0	0.019
TraesCS1A02G015300	8.871	0	6.8495
TraesCS1A02G015400	5.785	7.7175	4.39
TraesCS1A02G015500	0	0	0.056
TraesCS1A02G015600	0.0225	0	0
TraesCS1A02G015700	0.0115	0	0.011
TraesCS1A02G015800	0	0	0.011
TraesCS1A02G016300	0	0.0145	0
TraesCS1A02G016800	0	0	0.0165
TraesCS1A02G016900	0.047	0	0
TraesCS1A02G017000	3.1545	0	0
TraesCS1A02G017300	0	0	0
TraesCS1A02G017400	0	0	0
TraesCS1A02G017700	0	0	0
TraesCS1A02G017900	0.0215	0	0.2295
TraesCS1A02G018000	0	0	0
TraesCS1A02G018100	0.0115	0	0
TraesCS1A02G018500	0.292	0.0345	0.0835
TraesCS1A02G018600	0	0	0
TraesCS1A02G018700	0	0	0.0425
TraesCS1A02G018800	0	0.1015	0.1085
TraesCS1A02G018900	18.473	9.0285	16.1165
TraesCS1A02G019000	30.905	10.8455	14.786
TraesCS1A02G019200	15.5505	2.857	8.825
TraesCS1A02G019300	0	0	0
TraesCS1A02G019400	0	2.043	0.1085
TraesCS1A02G019600	0	0	0
TraesCS1A02G019700	0.0135	0	0
TraesCS1A02G019800	0.0135	0	0
TraesCS1A02G019900	0.0105	0.0225	0.1
TraesCS1A02G020000	0.143	0	0
TraesCS1A02G020200	0	0	0
TraesCS1A02G020300	14.6645	13.9815	8.712
TraesCS1A02G020400	3.367	1.5445	1.832
TraesCS1A02G020500	0	77.979	100.8615
TraesCS1A02G020600	6.9955	0.0245	4.096
TraesCS1A02G020700	2.303	0.7555	0.982
TraesCS1A02G020800	0	0.008	0
TraesCS1A02G021000	0	0.289	0
TraesCS1A02G021400	0	0.289	0
TraesCS1A02G021500	0	0	0
TraesCS1A02G021600	0	0	0
TraesCS1A02G021700	4.254	0	0
TraesCS1A02G021900	0	0	0
TraesCS1A02G022000	0.054	0	44.284
TraesCS1A02G022400	0	0	0.0105
TraesCS1A02G022600	10.3965	0.69	64.594
TraesCS1A02G022900	0	0	0
TraesCS1A02G023205	0.399	1.5585	1.326
TraesCS1A02G023300	0.0215	0	0
TraesCS1A02G023400	0	0.068	0.0505
TraesCS1A02G023600	0.0885	0.011	0.012
TraesCS1A02G023700	0	0	0
TraesCS1A02G023800	0	1.5735	13.101
TraesCS1A02G023900	0	0.1905	1.7915
TraesCS1A02G024000	0	0.1905	1.7915
TraesCS1A02G024100	0	0	0
TraesCS1A02G024200	0	0.0445	0
TraesCS1A02G024300	6.639	10.78	0
TraesCS1A02G024600	7.3675	2.868	11.91
TraesCS1A02G024700	9.01	9.0195	8.2975
TraesCS1A02G025100	0.0105	24.0545	33.366
TraesCS1A02G025200	5.399	2.7505	4.1675
TraesCS1A02G025700	7.0465	4.447	8.2395
TraesCS1A02G025800	0	0.467	5.323
TraesCS1A02G025900	0	0	0
TraesCS1A02G026300	0.0425	0.0225	0.028
TraesCS1A02G026400	8.805	0	0.054
TraesCS1A02G026900	0.017	0.898	0
TraesCS1A02G027200	9.0005	32.464	0.5615
TraesCS1A02G027300	1.6995	1.762	2.5055
TraesCS1A02G027400	0.027	3.263	0
TraesCS1A02G027500	7.6	3.263	0
TraesCS1A02G027600	13.729	5.423	0.9635
TraesCS1A02G027700	3.9045	3.263	5.3275
TraesCS1A02G027800	1.757	3.263	3.606
TraesCS1A02G028000	0.285	1.774	0
TraesCS1A02G028100	0.0695	7.6455	0
TraesCS1A02G028300	0	0	0
TraesCS1A02G028400	0.043	0	0.1355
TraesCS1A02G028500	2.686	0.0225	0.054
TraesCS1A02G028600	4.3985	0	0.1355
TraesCS1A02G028700	4.951	0	0.1355
TraesCS1A02G028900	9.297	0	0.054
TraesCS1A02G029100	2.466	0.198	0.0435
TraesCS1A02G029200	24.095	23.5385	20.592
TraesCS1A02G029300	46.7535	4.148	14.637
TraesCS1A02G029400	0.0135	0	0
TraesCS1A02G029900	0.0075	0.0075	0.008
TraesCS1A02G030100	3.723	14.7095	7.6165
TraesCS1A02G030500	9.405	15.907	17.801
