Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.068618775	0.025018253	0.069142795
TraesCS1A02G001900	0.251713377	0.230982742	0.237612071
TraesCS1A02G002000	0.060867045	0.000404957	0.008798593
TraesCS1A02G002100	0.002292203	0.018048238	0.004321302
TraesCS1A02G002200	1.311089166	1.025097473	0.425178519
TraesCS1A02G002300	0.004738255	0.0172776	0.024999737
TraesCS1A02G002500	0.20489194	0.308529571	0.046591364
TraesCS1A02G002700	0.221002391	0.053854581	0.231528703
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0.009670913
TraesCS1A02G004000	NA	NA	0.000322053
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0.000693422	0.661139512	0
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.011191406	0.024245598
TraesCS1A02G005100	0.000918809	0.49428284	0.006711103
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0.024245598
TraesCS1A02G005500	0.204805572	0.344600882	0.222796905
TraesCS1A02G005600	0.111224343	0.019227398	0.05108746
TraesCS1A02G005700	0.041219384	0.025458422	0.02229619
TraesCS1A02G005800	0.015016811	0.075817757	0.071562942
TraesCS1A02G005900	0.642761907	0.49428284	0.006711103
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0.003745041
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.187236624	0.151332573	0.183152949
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0.002372883	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0.002456366	NA	0.085446851
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
TraesCS1A02G009000	0.047077128	0.081716234	0.054862447
TraesCS1A02G009100	0	0.003638218	0.14478129
TraesCS1A02G009400	NA	0	NA
TraesCS1A02G009500	NA	0	0
TraesCS1A02G009600	NA	0	NA
TraesCS1A02G009900	NA	0	NA
TraesCS1A02G010100	NA	0	0.002308933
TraesCS1A02G010200	NA	0	NA
TraesCS1A02G010400	0.004517365	0	NA
TraesCS1A02G010600	NA	NA	NA
TraesCS1A02G010800	NA	NA	NA
TraesCS1A02G011200	0	0.013448369	0.07512556
TraesCS1A02G011300	NA	NA	NA
TraesCS1A02G011400	0	NA	0
TraesCS1A02G011800	0.026549714	0.012921849	0.087954827
TraesCS1A02G011900	NA	NA	0
TraesCS1A02G012000	0.000850655	NA	0
TraesCS1A02G012100	NA	NA	0
TraesCS1A02G012500	0.030467894	0.002885701	0.034961043
TraesCS1A02G013000	NA	NA	NA
TraesCS1A02G013200	NA	NA	NA
TraesCS1A02G013400	NA	NA	NA
TraesCS1A02G013600	0.010777409	0.055859809	0
TraesCS1A02G013700	0.058366453	0.003714928	0.041630325
TraesCS1A02G013800	0.014258467	0.014491754	0.021429603
TraesCS1A02G014000	NA	NA	NA
TraesCS1A02G014100	NA	0	NA
TraesCS1A02G014800	NA	0.055859809	0
TraesCS1A02G015200	0.04480008	0.085958696	0.046683622
TraesCS1A02G015300	0.936098165	0.657906336	0.146602758
TraesCS1A02G015400	0.109848964	0.047901296	0.013987814
TraesCS1A02G015500	NA	0	0.001214469
TraesCS1A02G015600	NA	NA	0
TraesCS1A02G015700	NA	NA	0
TraesCS1A02G015800	NA	0	NA
TraesCS1A02G016300	NA	NA	NA
TraesCS1A02G016800	NA	NA	NA
TraesCS1A02G016900	0.057952019	0.072160549	0.053060385
TraesCS1A02G017000	0.009391858	0.019862899	0.013575851
TraesCS1A02G017300	NA	0	NA
TraesCS1A02G017400	NA	0	NA
TraesCS1A02G017700	NA	NA	NA
TraesCS1A02G017900	0	0.002269573	0
TraesCS1A02G018000	NA	NA	NA
TraesCS1A02G018100	0.014540007	0.048588165	0.002681012
TraesCS1A02G018500	0.003665475	NA	NA
TraesCS1A02G018600	NA	NA	NA
TraesCS1A02G018700	NA	NA	0
TraesCS1A02G018800	0.000883675	NA	0
TraesCS1A02G018900	0.084038089	0.105321735	0.08654681
TraesCS1A02G019000	1.50011668	1.034331371	0.95690894
TraesCS1A02G019200	0.071930753	0.094437657	0.066212378
TraesCS1A02G019300	NA	NA	0
TraesCS1A02G019400	NA	0.012617742	0.00058294
TraesCS1A02G019600	NA	NA	NA
TraesCS1A02G019700	NA	NA	NA
TraesCS1A02G019800	NA	NA	NA
TraesCS1A02G019900	NA	NA	NA
TraesCS1A02G020000	NA	NA	NA
TraesCS1A02G020200	NA	NA	NA
TraesCS1A02G020300	0.060446831	0.119169874	0
TraesCS1A02G020400	0.007993609	0.004528273	0
TraesCS1A02G020500	1.07383642	0.860109515	0.013155213
TraesCS1A02G020600	0.08919574	0.033163563	0
TraesCS1A02G020700	0.003535578	0.00074594	NA
TraesCS1A02G020800	NA	NA	NA
TraesCS1A02G021000	0.000547655	0.000431286	NA
TraesCS1A02G021400	NA	0.000431286	NA
TraesCS1A02G021500	NA	NA	NA
TraesCS1A02G021600	NA	NA	NA
TraesCS1A02G021700	0	NA	NA
TraesCS1A02G021900	NA	NA	NA
TraesCS1A02G022000	NA	NA	0.004356324
TraesCS1A02G022400	NA	NA	NA
TraesCS1A02G022600	NA	0	1.831510547
TraesCS1A02G022900	NA	NA	NA
TraesCS1A02G023205	0	0.002589845	0
TraesCS1A02G023300	0.000735416	0	NA
TraesCS1A02G023400	0.082951154	0.069014549	0.001049686
TraesCS1A02G023600	NA	NA	NA
TraesCS1A02G023700	NA	NA	NA
TraesCS1A02G023800	0.029260802	0.000407947	0.003651942
TraesCS1A02G023900	NA	0.001105133	NA
TraesCS1A02G024000	NA	0.001105133	NA
TraesCS1A02G024100	NA	NA	NA
TraesCS1A02G024200	0.003706805	NA	0
TraesCS1A02G024300	0.030586004	0	0
TraesCS1A02G024600	0.020342651	0.004626191	0.000363037
TraesCS1A02G024700	0.006200948	0.012146715	0
TraesCS1A02G025100	0.10554607	0.062610311	0
TraesCS1A02G025200	0.121506273	0.006621863	0.000726866
TraesCS1A02G025700	0.028033596	0.046627827	0.019693954
TraesCS1A02G025800	0	0.041223566	0.028043361
TraesCS1A02G025900	0.050755651	0.043573029	0.028125896
TraesCS1A02G026300	0	NA	NA
TraesCS1A02G026400	0.024763626	NA	0.018088749
TraesCS1A02G026900	NA	0.010098393	0.005238795
TraesCS1A02G027200	0.066669711	0.004062787	0.105496066
TraesCS1A02G027300	0	0	0.001049092
TraesCS1A02G027400	NA	NA	NA
TraesCS1A02G027500	0.004108498	NA	NA
TraesCS1A02G027600	0.016364964	NA	NA
TraesCS1A02G027700	0.000404957	NA	0.003893647
TraesCS1A02G027800	0.025426304	NA	0.002222889
TraesCS1A02G028000	NA	0.000467148	NA
TraesCS1A02G028100	NA	0	NA
TraesCS1A02G028300	NA	NA	NA
TraesCS1A02G028400	NA	NA	0
TraesCS1A02G028500	0	NA	0.018088749
TraesCS1A02G028600	0	NA	0
TraesCS1A02G028700	NA	NA	0
TraesCS1A02G028900	0	NA	0.018088749
TraesCS1A02G029100	NA	0.000287272	0.032093079
TraesCS1A02G029200	0.015102486	0.001068893	0.007241319
TraesCS1A02G029300	0.01545647	0.024270257	0.113224218
TraesCS1A02G029400	0	0	NA
TraesCS1A02G029900	NA	NA	0
TraesCS1A02G030100	0.005478181	0.011761356	0.003270327
TraesCS1A02G030500	0.02017501	0.008724351	0.014084045
TraesCS1A02G030600	0.312927756	0.260997322	0.017502962
TraesCS1A02G030700	0.038352523	0.018113487	0.020086163
TraesCS1A02G031000	NA	NA	0.000337924
TraesCS1A02G031100	NA	NA	NA
TraesCS1A02G031200	0.415905024	0.125266071	0.315649821
TraesCS1A02G031300	NA	NA	0
TraesCS1A02G031400	NA	NA	0
TraesCS1A02G031800	NA	NA	NA
TraesCS1A02G031900	NA	NA	NA
TraesCS1A02G032000	NA	NA	NA
TraesCS1A02G032200	NA	NA	NA
TraesCS1A02G032300	NA	NA	NA
TraesCS1A02G032400	NA	NA	NA
TraesCS1A02G032700	0.016287074	0.054969642	0.010158514
TraesCS1A02G032900	0.000362034	NA	0.000282547
TraesCS1A02G033000	0.135974917	1.139526909	0.212520698
TraesCS1A02G033100	0.356376881	0.288535199	0.306052986
TraesCS1A02G033300	0.003288419	0.001191755	0.039392268
TraesCS1A02G033400	NA	NA	NA
TraesCS1A02G033500	0.016728012	0.006692124	0.003193237
TraesCS1A02G033600	0.033548405	0.006692124	0.003193237
TraesCS1A02G033800	0	0.010499777	0.012845297
TraesCS1A02G034100	0.000754074	0.024270257	0
TraesCS1A02G034300	0.065776815	0.133961011	0.173010104
TraesCS1A02G034500	NA	NA	NA
TraesCS1A02G034600	NA	NA	NA
TraesCS1A02G034700	NA	NA	NA
TraesCS1A02G034800	NA	NA	NA
TraesCS1A02G034900	NA	NA	0
TraesCS1A02G035000	0.0428218	0.034165649	0.031697918
TraesCS1A02G035200	0.00440186	0.00186915	0.007989121
TraesCS1A02G035400	NA	0	0
TraesCS1A02G035700	0.010041865	NA	NA
TraesCS1A02G035900	0.005018963	0.000943762	0
