Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.203381008	0.085923986	0.400102844
TraesCS1A02G001900	0.24164035	0.31111185	0.192203863
TraesCS1A02G002000	0.023703509	0.00872886	0.052420256
TraesCS1A02G002100	0.011543202	0.034867614	0.004664386
TraesCS1A02G002200	0.863444718	0.61534307	0.461332178
TraesCS1A02G002300	0	0.02021075	0
TraesCS1A02G002500	0.104080234	0.113626896	0.036121321
TraesCS1A02G002700	0.275886177	0.16181649	0.201989995
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0.027301637
TraesCS1A02G004000	NA	NA	0
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0	0.940385032	0
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.003063452	0.030022018
TraesCS1A02G005100	0	0.33493035	0.028435104
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0.030022018
TraesCS1A02G005500	0.129863021	0.280592879	0.229257964
TraesCS1A02G005600	0.173441583	0.024702686	0.108353852
TraesCS1A02G005700	0.31471099	0.276767971	0.309553049
TraesCS1A02G005800	0.02856589	0.224401987	0.185779268
TraesCS1A02G005900	0.58776787	0.33493035	0.028435104
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.277517242	0.210032157	0.311923302
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0	NA	0.073870403
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
TraesCS1A02G009000	0.05234679	0.105111106	0.157812551
TraesCS1A02G009100	0	0	0.168961045
TraesCS1A02G009400	NA	0	NA
TraesCS1A02G009500	NA	0	0
TraesCS1A02G009600	NA	0	NA
TraesCS1A02G009900	NA	0	NA
TraesCS1A02G010100	NA	0	0
TraesCS1A02G010200	NA	0	NA
TraesCS1A02G010400	0	0	NA
TraesCS1A02G010600	NA	NA	NA
TraesCS1A02G010800	NA	NA	NA
TraesCS1A02G011200	0	0.005433386	0
TraesCS1A02G011300	NA	NA	NA
TraesCS1A02G011400	0	NA	0
TraesCS1A02G011800	0.249876037	0.062373843	0.346317402
TraesCS1A02G011900	NA	NA	0
TraesCS1A02G012000	0	NA	0
TraesCS1A02G012100	NA	NA	0
TraesCS1A02G012500	0.042609858	0	0.012174788
TraesCS1A02G013000	NA	NA	NA
TraesCS1A02G013200	NA	NA	NA
TraesCS1A02G013400	NA	NA	NA
TraesCS1A02G013600	0.02973649	0.27243457	0
TraesCS1A02G013700	0.008524277	0.009233431	0.019527924
TraesCS1A02G013800	0.032534238	0.01376426	0.002323559
TraesCS1A02G014000	NA	NA	NA
TraesCS1A02G014100	NA	0	NA
TraesCS1A02G014800	NA	0.27243457	0
TraesCS1A02G015200	0.18129846	0.201006922	0.204688821
TraesCS1A02G015300	0.388270683	0.180379972	0.097032988
TraesCS1A02G015400	0.180569362	0.08794707	0.035696869
TraesCS1A02G015500	NA	0	0
TraesCS1A02G015600	NA	NA	0
TraesCS1A02G015700	NA	NA	0
TraesCS1A02G015800	NA	0	NA
TraesCS1A02G016300	NA	NA	NA
TraesCS1A02G016800	NA	NA	NA
TraesCS1A02G016900	0.158868361	0.063849693	0.077131618
TraesCS1A02G017000	0.017588006	0.020807332	0.026969743
TraesCS1A02G017300	NA	0	NA
TraesCS1A02G017400	NA	0	NA
TraesCS1A02G017700	NA	NA	NA
TraesCS1A02G017900	0	0	0
TraesCS1A02G018000	NA	NA	NA
TraesCS1A02G018100	0	0.008524277	0
TraesCS1A02G018500	0	NA	NA
TraesCS1A02G018600	NA	NA	NA
TraesCS1A02G018700	NA	NA	0
TraesCS1A02G018800	0	NA	0
TraesCS1A02G018900	0.105879606	0.218335986	0.061437707
TraesCS1A02G019000	1.528429099	1.138050639	1.088609098
TraesCS1A02G019200	0.179047461	0.153524451	0.073345851
TraesCS1A02G019300	NA	NA	0
TraesCS1A02G019400	NA	0.010880943	0
TraesCS1A02G019600	NA	NA	NA
TraesCS1A02G019700	NA	NA	NA
TraesCS1A02G019800	NA	NA	NA
TraesCS1A02G019900	NA	NA	NA
TraesCS1A02G020000	NA	NA	NA
TraesCS1A02G020200	NA	NA	NA
TraesCS1A02G020300	0.091281203	0.246830559	0
TraesCS1A02G020400	0.018681639	0.014717555	0
TraesCS1A02G020500	1.561163521	2.002570276	0.025482562
TraesCS1A02G020600	0.03620643	0.015819863	0
TraesCS1A02G020700	0	0	NA
