Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.138768242	0.009237133	0.120729285
TraesCS1A02G001900	0.329576478	0.192717045	0.368133797
TraesCS1A02G002000	0.085096588	0	0
TraesCS1A02G002100	0	0.016692552	0
TraesCS1A02G002200	1.013641772	0.644826771	0.333550416
TraesCS1A02G002300	0	0	0.018671456
TraesCS1A02G002500	0.401350264	0.432510943	0.035962088
TraesCS1A02G002700	0.248966658	0.072037367	0.190397771
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0
TraesCS1A02G004000	NA	NA	0
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0.006003532	0.665283551	0
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.005849291	0
TraesCS1A02G005100	0	0.554097893	0
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0
TraesCS1A02G005500	0.186432608	0.26135578	0.226135674
TraesCS1A02G005600	0.098007775	0.02084434	0.029036138
TraesCS1A02G005700	0.058767729	0.003813781	0.105910166
TraesCS1A02G005800	0.049236607	0.120277293	0.065055074
TraesCS1A02G005900	0.797228758	0.554097893	0
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.159309141	0.126630576	0.234524206
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0	NA	0.068309459
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
TraesCS1A02G009000	0.058192099	0.046110523	0.103379898
TraesCS1A02G009100	0	0.004823147	0.112045818
TraesCS1A02G009400	NA	0	NA
TraesCS1A02G009500	NA	0	0
TraesCS1A02G009600	NA	0	NA
TraesCS1A02G009900	NA	0	NA
TraesCS1A02G010100	NA	0	0.006926301
TraesCS1A02G010200	NA	0	NA
TraesCS1A02G010400	0	0	NA
TraesCS1A02G010600	NA	NA	NA
TraesCS1A02G010800	NA	NA	NA
TraesCS1A02G011200	0	0.018203717	0.084757529
TraesCS1A02G011300	NA	NA	NA
TraesCS1A02G011400	0	NA	0
TraesCS1A02G011800	0.013144989	0	0.070977217
TraesCS1A02G011900	NA	NA	0
TraesCS1A02G012000	0	NA	0
TraesCS1A02G012100	NA	NA	0
TraesCS1A02G012500	0.01340922	0	0.021729279
TraesCS1A02G013000	NA	NA	NA
TraesCS1A02G013200	NA	NA	NA
TraesCS1A02G013400	NA	NA	NA
TraesCS1A02G013600	0.052982551	0.127335221	0.004324906
TraesCS1A02G013700	0.045391315	0	0.083069541
TraesCS1A02G013800	0.013513238	0.004075179	0.02910068
TraesCS1A02G014000	NA	NA	NA
TraesCS1A02G014100	NA	0	NA
TraesCS1A02G014800	NA	0.127335221	0.004324906
TraesCS1A02G015200	0.020504021	0.129566221	0.037101389
TraesCS1A02G015300	0.922589993	0.765872471	0.157199916
TraesCS1A02G015400	0.098896217	0.037346039	0
TraesCS1A02G015500	NA	0	0
TraesCS1A02G015600	NA	NA	0
TraesCS1A02G015700	NA	NA	0
TraesCS1A02G015800	NA	0	NA
TraesCS1A02G016300	NA	NA	NA
TraesCS1A02G016800	NA	NA	NA
TraesCS1A02G016900	0.14006788	0.052330365	0.093075542
TraesCS1A02G017000	0	0.011412296	0.020017093
TraesCS1A02G017300	NA	0	NA
TraesCS1A02G017400	NA	0	NA
TraesCS1A02G017700	NA	NA	NA
TraesCS1A02G017900	0.006400606	0	0
TraesCS1A02G018000	NA	NA	NA
TraesCS1A02G018100	0	0	0
TraesCS1A02G018500	0.004286102	NA	NA
TraesCS1A02G018600	NA	NA	NA
TraesCS1A02G018700	NA	NA	0
TraesCS1A02G018800	0	NA	0
TraesCS1A02G018900	0.03535798	0.098490244	0.077535201
TraesCS1A02G019000	1.411648974	1.18175328	0.811013072
TraesCS1A02G019200	0.027005523	0.100523318	0.059550078
TraesCS1A02G019300	NA	NA	0
TraesCS1A02G019400	NA	0.009990888	0
TraesCS1A02G019600	NA	NA	NA
TraesCS1A02G019700	NA	NA	NA
TraesCS1A02G019800	NA	NA	NA
TraesCS1A02G019900	NA	NA	NA
TraesCS1A02G020000	NA	NA	NA
TraesCS1A02G020200	NA	NA	NA
TraesCS1A02G020300	0.008774798	0.050787947	0
TraesCS1A02G020400	0.015344932	0	0
TraesCS1A02G020500	0.875037489	1.19158119	0.015316974
TraesCS1A02G020600	0.101555459	0.008733616	0
TraesCS1A02G020700	0	0	NA
TraesCS1A02G020800	NA	NA	NA
TraesCS1A02G021000	0	0	NA
TraesCS1A02G021400	NA	0	NA
TraesCS1A02G021500	NA	NA	NA
TraesCS1A02G021600	NA	NA	NA
TraesCS1A02G021700	0	NA	NA
TraesCS1A02G021900	NA	NA	NA
TraesCS1A02G022000	NA	NA	0
