Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.0609364	0.012846738	0.105551026
TraesCS1A02G001900	0.206450869	0.220108641	0.16831785
TraesCS1A02G002000	0.05270814	0	0.010507225
TraesCS1A02G002100	0.003762514	0.027516217	0.003736834
TraesCS1A02G002200	1.04327169	0.701389307	0.329696806
TraesCS1A02G002300	0.000833157	0.031153038	0.028944014
TraesCS1A02G002500	0.142381557	0.178009283	0.031927769
TraesCS1A02G002700	0.19313035	0.066805387	0.191571836
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0.005660873
TraesCS1A02G004000	NA	NA	0.002438503
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0.003475116	0.596630871	0.001625401
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0.000404627	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.006342183	0.0279648
TraesCS1A02G005100	0	0.491594123	0.018256203
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0.0279648
TraesCS1A02G005500	0.116436583	0.22022263	0.200786261
TraesCS1A02G005600	0.133610176	0.02134298	0.05073415
TraesCS1A02G005700	0.060327281	0.039605886	0.026566628
TraesCS1A02G005800	0.025315295	0.087430712	0.073388759
TraesCS1A02G005900	0.90996947	0.491594123	0.018256203
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.1800877	0.1170426	0.151133787
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0.005351916	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0	NA	0.072416762
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
TraesCS1A02G009000	0.090013187	0.143527352	0.11685176
TraesCS1A02G009100	0	0.000673115	0.135063973
TraesCS1A02G009400	NA	0	NA
TraesCS1A02G009500	NA	0	0
TraesCS1A02G009600	NA	0	NA
TraesCS1A02G009900	NA	0	NA
TraesCS1A02G010100	NA	0	0.006793269
TraesCS1A02G010200	NA	0	NA
TraesCS1A02G010400	0.010859015	0	NA
TraesCS1A02G010600	NA	NA	NA
TraesCS1A02G010800	NA	NA	NA
TraesCS1A02G011200	0.002107435	0.016519929	0.069711296
TraesCS1A02G011300	NA	NA	NA
TraesCS1A02G011400	0.001156677	NA	0
TraesCS1A02G011800	0.101593965	0.011406599	0.173221125
TraesCS1A02G011900	NA	NA	0
TraesCS1A02G012000	0	NA	0
TraesCS1A02G012100	NA	NA	0
TraesCS1A02G012500	0.020273305	0.003852087	0.023278187
TraesCS1A02G013000	NA	NA	NA
TraesCS1A02G013200	NA	NA	NA
TraesCS1A02G013400	NA	NA	NA
TraesCS1A02G013600	0.025814742	0.239455313	0.008281704
TraesCS1A02G013700	0.052789355	0.009775232	0.063248205
TraesCS1A02G013800	0.010334251	0.023716927	0.025572123
TraesCS1A02G014000	NA	NA	NA
TraesCS1A02G014100	NA	0	NA
TraesCS1A02G014800	NA	0.239455313	0.008281704
TraesCS1A02G015200	0.027474371	0.099283193	0.050492734
TraesCS1A02G015300	0.626025804	0.422154175	0.119346716
TraesCS1A02G015400	0.112562125	0.094105788	0.028827653
TraesCS1A02G015500	NA	0	0
TraesCS1A02G015600	NA	NA	0
TraesCS1A02G015700	NA	NA	0
TraesCS1A02G015800	NA	0	NA
TraesCS1A02G016300	NA	NA	NA
TraesCS1A02G016800	NA	NA	NA
TraesCS1A02G016900	0.05509231	0.091743962	0.08051121
TraesCS1A02G017000	0.010866599	0.038687472	0.019524005
TraesCS1A02G017300	NA	0	NA
TraesCS1A02G017400	NA	0	NA
TraesCS1A02G017700	NA	NA	NA
TraesCS1A02G017900	0	0.000887446	0
TraesCS1A02G018000	NA	NA	NA
TraesCS1A02G018100	0.004836731	0.017386361	0.000618249
TraesCS1A02G018500	0.002605068	NA	NA
TraesCS1A02G018600	NA	NA	NA
TraesCS1A02G018700	NA	NA	0
TraesCS1A02G018800	0	NA	0
TraesCS1A02G018900	0.057454758	0.116298228	0.064627154
TraesCS1A02G019000	1.297436536	0.841022948	0.750362996
TraesCS1A02G019200	0.070061908	0.095895474	0.042600896
TraesCS1A02G019300	NA	NA	0
TraesCS1A02G019400	NA	0.006064691	0.008825669
TraesCS1A02G019600	NA	NA	NA
TraesCS1A02G019700	NA	NA	NA
TraesCS1A02G019800	NA	NA	NA
TraesCS1A02G019900	NA	NA	NA
TraesCS1A02G020000	NA	NA	NA
TraesCS1A02G020200	NA	NA	NA
TraesCS1A02G020300	0.062630768	0.093181038	0
TraesCS1A02G020400	0.006380921	0.010417177	0
TraesCS1A02G020500	0.932093629	0.842410524	0.012881671
TraesCS1A02G020600	0.092600814	0.022979103	0
TraesCS1A02G020700	0.003603575	0.003043064	NA
TraesCS1A02G020800	NA	NA	NA
TraesCS1A02G021000	0	0	NA
TraesCS1A02G021400	NA	0	NA
TraesCS1A02G021500	NA	NA	NA
TraesCS1A02G021600	NA	NA	NA
TraesCS1A02G021700	0.006832621	NA	NA
TraesCS1A02G021900	NA	NA	NA
TraesCS1A02G022000	NA	NA	0.001947025
TraesCS1A02G022400	NA	NA	NA
TraesCS1A02G022600	NA	0	1.370312778
TraesCS1A02G022900	NA	NA	NA
TraesCS1A02G023205	0	0	0
TraesCS1A02G023300	0	0	NA
TraesCS1A02G023400	0.142202777	0.104942138	0.007274954
TraesCS1A02G023600	NA	NA	NA
TraesCS1A02G023700	NA	NA	NA
TraesCS1A02G023800	0.049462816	0.001594459	0.001193316
TraesCS1A02G023900	NA	0.000833764	NA
TraesCS1A02G024000	NA	0.000833764	NA
TraesCS1A02G024100	NA	NA	NA
TraesCS1A02G024200	0.001013122	NA	0
TraesCS1A02G024300	0.049847271	0	0
TraesCS1A02G024600	0.014990767	0.003147203	0
TraesCS1A02G024700	0.01056637	0.015103269	0
TraesCS1A02G025100	0.127174011	0.076963745	0.000936798
TraesCS1A02G025200	0.07386974	0.010460634	0
TraesCS1A02G025700	0.020946614	0.061444032	0.02412969
TraesCS1A02G025800	0.000618249	0.058307397	0.034527694
TraesCS1A02G025900	0.043344723	0.037401447	0.00958598
TraesCS1A02G026300	0	NA	NA
TraesCS1A02G026400	0.02549919	NA	0.011209431
TraesCS1A02G026900	NA	0.005473909	0.002891291
TraesCS1A02G027200	0.055321797	0.004280577	0.087765715
TraesCS1A02G027300	0	0	0.004733784
TraesCS1A02G027400	NA	NA	NA
TraesCS1A02G027500	0.004555779	NA	NA
TraesCS1A02G027600	0.022115794	NA	NA
TraesCS1A02G027700	0	NA	0.002497232
TraesCS1A02G027800	0.014404526	NA	0.000529703
TraesCS1A02G028000	NA	0	NA
TraesCS1A02G028100	NA	0	NA
TraesCS1A02G028300	NA	NA	NA
TraesCS1A02G028400	NA	NA	0.001340516
TraesCS1A02G028500	0.003172347	NA	0.011209431
TraesCS1A02G028600	0.000470114	NA	0.001340516
TraesCS1A02G028700	NA	NA	0.001340516
TraesCS1A02G028900	0	NA	0.011209431
TraesCS1A02G029100	NA	0	0.022205677
TraesCS1A02G029200	0.034781809	0	0.041011949
TraesCS1A02G029300	0.087930442	0.059786303	0.242901767
TraesCS1A02G029400	0	0.000482109	NA
TraesCS1A02G029900	NA	NA	0
TraesCS1A02G030100	0.032693335	0.018417822	0.005979636
TraesCS1A02G030500	0.015554314	0.019557537	0.015055947
TraesCS1A02G030600	0.221281141	0.173166124	0.007603737
TraesCS1A02G030700	0.040461493	0.013773496	0.028582486
TraesCS1A02G031000	NA	NA	0.001167652
TraesCS1A02G031100	NA	NA	NA
TraesCS1A02G031200	0.549571919	0.140469704	0.384035278
TraesCS1A02G031300	NA	NA	0
TraesCS1A02G031400	NA	NA	0
TraesCS1A02G031800	NA	NA	NA
TraesCS1A02G031900	NA	NA	NA
TraesCS1A02G032000	NA	NA	NA
TraesCS1A02G032200	NA	NA	NA
TraesCS1A02G032300	NA	NA	NA
TraesCS1A02G032400	NA	NA	NA
TraesCS1A02G032700	0.026365922	0.049763808	0.014248562
TraesCS1A02G032900	0	NA	0
TraesCS1A02G033000	0.11848985	0.955894704	0.173291114
TraesCS1A02G033100	0.414434259	0.337207385	0.339726733
TraesCS1A02G033300	0.016522728	0.002156061	0.05258187
TraesCS1A02G033400	NA	NA	NA
TraesCS1A02G033500	0.012480899	0.009733674	0.025804877
TraesCS1A02G033600	0.035646151	0.009733674	0.025804877
TraesCS1A02G033800	0	0.00242468	0.006113748
TraesCS1A02G034100	0	0.059786303	0
TraesCS1A02G034300	0.095950711	0.160860403	0.146952988
TraesCS1A02G034500	NA	NA	NA
TraesCS1A02G034600	NA	NA	NA
TraesCS1A02G034700	NA	NA	NA
TraesCS1A02G034800	NA	NA	NA
TraesCS1A02G034900	NA	NA	0
TraesCS1A02G035000	0.058539587	0.041773063	0.040345033
TraesCS1A02G035200	0.024976399	0.002206219	0.020338079
TraesCS1A02G035400	NA	0	0
TraesCS1A02G035700	0.007662646	NA	NA
TraesCS1A02G035900	0.01059006	0	0
TraesCS1A02G036000	NA	NA	NA
TraesCS1A02G036100	0.046091955	0.046361309	0.078040083
TraesCS1A02G036200	0.001000456	0	0.000800715
TraesCS1A02G036300	0.062655357	0.209606702	0.097525582
TraesCS1A02G036400	NA	NA	0.000486912
TraesCS1A02G036500	0.002818968	NA	0.000486912
TraesCS1A02G036700	0.000573228	0.000843595	0.000757926
TraesCS1A02G037400	NA	NA	NA
TraesCS1A02G037700	NA	0	0.007435969
TraesCS1A02G037800	0	0	0.002000916
TraesCS1A02G037900	0.002105335	0.022439389	0.019518717
TraesCS1A02G038100	1.055035509	1.477006327	1.551507949
TraesCS1A02G038200	1.487914058	2.604406251	1.486211554
TraesCS1A02G038300	0	0.682121114	0.026860963
TraesCS1A02G038400	0.011242672	0.055209082	0.132504201
TraesCS1A02G039100	0.002396948	0.068099671	0.041264781
TraesCS1A02G039200	0.016229935	0.060564103	0.037451115
TraesCS1A02G039900	NA	NA	NA
TraesCS1A02G040100	NA	NA	NA
TraesCS1A02G040400	0.005073474	0.04025819	0.06989048
TraesCS1A02G040500	0.124703517	0.110636436	0.081738429
TraesCS1A02G040600	0.033018244	0.126301478	0.061384322
TraesCS1A02G041700	NA	0	0
TraesCS1A02G041900	0	NA	0.002497232
TraesCS1A02G042000	NA	NA	NA
TraesCS1A02G042100	0.014473073	NA	0.014398063
TraesCS1A02G042300	NA	NA	NA
TraesCS1A02G042700	0	0	NA
TraesCS1A02G042800	0.001758354	0.094264478	0.002051971
TraesCS1A02G043200	0.149774886	0.175821431	0.265077056
TraesCS1A02G043400	0	0.006612612	0.01560503
TraesCS1A02G043500	NA	0	0
TraesCS1A02G043600	0.2026909	0.111525959	0.19012873
TraesCS1A02G043900	NA	NA	0
TraesCS1A02G044500	0.092199496	0.10736541	0.110577052
TraesCS1A02G044600	0.064468634	0.091194824	0.030298122
TraesCS1A02G044800	0.034420166	0.017313961	0.060603155
TraesCS1A02G044900	NA	NA	0
TraesCS1A02G045000	NA	NA	NA
TraesCS1A02G045100	NA	NA	NA
TraesCS1A02G045300	0.087288467	0.111072938	0.112436659
TraesCS1A02G045400	0.004323474	0.003950319	0.007768849
TraesCS1A02G045500	NA	NA	NA
TraesCS1A02G045600	NA	NA	NA
TraesCS1A02G045800	0.121863757	0.105509686	0.214340916
TraesCS1A02G045900	NA	0	NA
TraesCS1A02G046000	NA	NA	0
TraesCS1A02G046100	0.001642458	0.029047417	0.017462108
TraesCS1A02G046300	0.02217753	0.057062376	0.00146802
TraesCS1A02G046400	NA	NA	0
TraesCS1A02G046500	0.100560217	0.079318795	0.048792702
TraesCS1A02G046600	0.033970174	0.079318795	0.136972443
TraesCS1A02G046800	0.129150755	0.040358135	0.097294725
TraesCS1A02G047000	0.195217764	0.070052584	0.178148764
TraesCS1A02G047200	0.003957208	0.004919865	0.003625355
TraesCS1A02G047300	NA	0	0
TraesCS1A02G047400	0.012777308	0.007341084	0.003434066
TraesCS1A02G047500	0.115246308	0	0.0009585
TraesCS1A02G047700	NA	0	NA
TraesCS1A02G048300	NA	NA	NA
TraesCS1A02G048400	NA	0	0
TraesCS1A02G048500	NA	0	0
TraesCS1A02G048600	0.008560585	0.003597164	0
TraesCS1A02G048700	0.203928867	0.302422281	0.08084248
TraesCS1A02G049300	0.027870983	0.022241309	0.023904834
TraesCS1A02G049500	NA	NA	NA
TraesCS1A02G049700	0.78748509	0.857608644	0.689102761
TraesCS1A02G050000	NA	NA	NA
TraesCS1A02G050100	0.011418081	0	0
TraesCS1A02G050400	NA	NA	NA
TraesCS1A02G050600	0.001622329	NA	0
TraesCS1A02G050700	NA	NA	NA
TraesCS1A02G050800	NA	NA	NA
TraesCS1A02G050900	0.02851675	0	0.039289421
TraesCS1A02G051000	0.003521767	0.000881151	0
TraesCS1A02G051300	0.105165946	0.031456514	0.160798726
TraesCS1A02G051400	0.001193316	0.000482109	0
TraesCS1A02G051500	0.173458614	1.476171512	1.254030605
TraesCS1A02G051600	0	NA	NA
TraesCS1A02G051700	1.936447448	9.591253495	0.919966115
TraesCS1A02G051800	NA	0	0.013081113
TraesCS1A02G052000	0.003036981	0.000607396	0.000607396
TraesCS1A02G052200	0.315029619	0.189394836	0.139249758
TraesCS1A02G052300	0.075455434	0.027891019	0.03811056
TraesCS1A02G052500	NA	NA	NA
TraesCS1A02G052600	NA	NA	NA
TraesCS1A02G052700	NA	NA	NA
TraesCS1A02G052800	NA	NA	NA
TraesCS1A02G052900	NA	NA	NA
TraesCS1A02G053100	NA	NA	NA
TraesCS1A02G053300	NA	NA	NA
TraesCS1A02G053500	NA	NA	NA
TraesCS1A02G053700	0	0.041656198	0.019165806
TraesCS1A02G053800	NA	NA	NA
TraesCS1A02G054200	NA	NA	NA
TraesCS1A02G054300	0.007993937	0.075669014	0.105703522
TraesCS1A02G054400	0.017108149	0.004487374	0.02547141
TraesCS1A02G054500	NA	NA	NA
TraesCS1A02G054600	NA	NA	NA
TraesCS1A02G054900	0.082320445	0.073252319	0.082321162
TraesCS1A02G055000	0	0.013232827	0
TraesCS1A02G055100	NA	NA	NA
TraesCS1A02G055200	0.222549396	0.001377621	0.371504671
TraesCS1A02G055300	NA	NA	NA
TraesCS1A02G055400	0.012537261	0.001575809	0.010139053
TraesCS1A02G055700	NA	NA	NA
TraesCS1A02G055800	0	NA	0
TraesCS1A02G056100	0.004919865	NA	0
TraesCS1A02G056105	0.005678489	0.006519347	0
TraesCS1A02G056200	NA	0	0
TraesCS1A02G056400	0	0.00046649	0
TraesCS1A02G056500	0.062469225	0.000783899	0.038998122
TraesCS1A02G056600	0.000569851	0.015707661	0.001282804
TraesCS1A02G056900	NA	NA	NA
TraesCS1A02G057200	0.016253101	0.009103101	0.015198403
TraesCS1A02G057300	0	NA	NA
TraesCS1A02G057400	NA	NA	0
TraesCS1A02G057600	NA	NA	NA
TraesCS1A02G057700	NA	0.025725009	0.111059341
TraesCS1A02G057900	NA	NA	NA
TraesCS1A02G058200	NA	NA	NA
TraesCS1A02G058400	NA	0	0
TraesCS1A02G058500	NA	0.001021587	0.007392292
TraesCS1A02G058600	0.07799448	0.00599689	0.038943389
TraesCS1A02G058700	0.003243049	0.017055861	0.009375778
TraesCS1A02G058900	NA	0	NA
TraesCS1A02G059100	0.054305411	0.127499043	0.057929673
TraesCS1A02G059800	0.002160809	0	0
TraesCS1A02G059900	NA	0	0
TraesCS1A02G060100	0.039930587	0.038332042	0.01006271
TraesCS1A02G060600	0.004001832	0.018700785	0
TraesCS1A02G060700	0.173482636	0.804672125	0.124720312
TraesCS1A02G060900	0	NA	NA
TraesCS1A02G061000	NA	NA	NA
TraesCS1A02G061100	NA	NA	0.00031638
TraesCS1A02G061200	NA	NA	0.00031638
TraesCS1A02G061300	NA	NA	0.00031638
TraesCS1A02G061400	NA	0	NA
TraesCS1A02G061500	NA	NA	NA
TraesCS1A02G061600	NA	0	0
TraesCS1A02G061700	0	0	0
TraesCS1A02G062000	NA	NA	0.001433549
TraesCS1A02G062100	0.177692471	0.403241263	0.174536546
TraesCS1A02G062200	0	0.002915139	0
