Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.16162689	0.035088733	0.121663918
TraesCS1A02G001900	0.221127337	0.199781532	0.193253986
TraesCS1A02G002000	0.066062348	0.004740684	0.010913741
TraesCS1A02G002100	0.009409057	0.040310559	0.007442441
TraesCS1A02G002200	0.73220107	0.571935766	0.292753868
TraesCS1A02G002300	0.00203783	0.014279297	0.012310641
TraesCS1A02G002500	0.09767303	0.092628088	0.024250464
TraesCS1A02G002700	0.177222758	0.099540358	0.237690061
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0.055897147
TraesCS1A02G004000	NA	NA	0.00341276
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0.002316861	0.688276335	0
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.0056235	0.02794227
TraesCS1A02G005100	0	0.352113813	0.018143124
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0.000919425	NA	0.02794227
TraesCS1A02G005500	0.13503344	0.329516814	0.265001332
TraesCS1A02G005600	0.129639772	0.042375939	0.061960203
TraesCS1A02G005700	0.071864797	0.051329157	0.032599377
TraesCS1A02G005800	0.020333407	0.127206309	0.1005662
TraesCS1A02G005900	0.629792367	0.352113813	0.018143124
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.192062204	0.159915014	0.229263884
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0.00801708	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0.00212842	NA	0.038467304
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
TraesCS1A02G009000	0.067788553	0.120558581	0.135809878
TraesCS1A02G009100	0	0.002648612	0.112444989
TraesCS1A02G009400	NA	0	NA
TraesCS1A02G009500	NA	0	0.00040172
TraesCS1A02G009600	NA	0	NA
TraesCS1A02G009900	NA	0.008444412	NA
TraesCS1A02G010100	NA	0.00088548	0.031146062
TraesCS1A02G010200	NA	0	NA
TraesCS1A02G010400	0.013485159	0	NA
TraesCS1A02G010600	NA	NA	NA
TraesCS1A02G010800	NA	NA	NA
TraesCS1A02G011200	0.000754802	0.019742232	0.056471616
TraesCS1A02G011300	NA	NA	NA
TraesCS1A02G011400	0	NA	0
TraesCS1A02G011800	0.116921022	0.020457449	0.205238798
TraesCS1A02G011900	NA	NA	0
TraesCS1A02G012000	0	NA	0
TraesCS1A02G012100	NA	NA	0
TraesCS1A02G012500	0.044680394	0.00539899	0.02468076
TraesCS1A02G013000	NA	NA	NA
TraesCS1A02G013200	NA	NA	NA
TraesCS1A02G013400	NA	NA	NA
TraesCS1A02G013600	0.015152891	0.101933766	0.012612071
TraesCS1A02G013700	0.027127258	0	0.04465057
TraesCS1A02G013800	0.040925177	0.023021537	0.019001193
TraesCS1A02G014000	NA	NA	NA
TraesCS1A02G014100	NA	0.000566839	NA
TraesCS1A02G014800	NA	0.101933766	0.012612071
TraesCS1A02G015200	0.090017824	0.141056914	0.087940196
TraesCS1A02G015300	0.602180818	0.428106719	0.100903983
TraesCS1A02G015400	0.102937116	0.138585259	0.0323021
TraesCS1A02G015500	NA	0	0.002014465
TraesCS1A02G015600	NA	NA	0
TraesCS1A02G015700	NA	NA	0
TraesCS1A02G015800	NA	0	NA
TraesCS1A02G016300	NA	NA	NA
TraesCS1A02G016800	NA	NA	NA
TraesCS1A02G016900	0.074962623	0.081694351	0.102781995
TraesCS1A02G017000	0.018134109	0.040496963	0.025290967
TraesCS1A02G017300	NA	0	NA
TraesCS1A02G017400	NA	0	NA
TraesCS1A02G017700	NA	NA	NA
TraesCS1A02G017900	0	0.001154467	0
TraesCS1A02G018000	NA	NA	NA
TraesCS1A02G018100	0.000856627	0.007065076	0.001049734
TraesCS1A02G018500	0.003533594	NA	NA
TraesCS1A02G018600	NA	NA	NA
TraesCS1A02G018700	NA	NA	0
TraesCS1A02G018800	0	NA	0.000736786
TraesCS1A02G018900	0.094969015	0.155563603	0.130497872
TraesCS1A02G019000	1.218705993	0.685826273	0.795348257
TraesCS1A02G019200	0.114948244	0.131996459	0.107410698
TraesCS1A02G019300	NA	NA	0
TraesCS1A02G019400	NA	0.008384499	0.001450251
TraesCS1A02G019600	NA	NA	NA
TraesCS1A02G019700	NA	NA	NA
TraesCS1A02G019800	NA	NA	NA
TraesCS1A02G019900	NA	NA	NA
TraesCS1A02G020000	NA	NA	NA
TraesCS1A02G020200	NA	NA	NA
TraesCS1A02G020300	0.079561163	0.18994063	0
TraesCS1A02G020400	0.012665682	0.028915343	0
TraesCS1A02G020500	1.002214933	1.158706652	0.027378809
TraesCS1A02G020600	0.079673461	0.035118545	0.000301426
TraesCS1A02G020700	0.010414636	0.000536611	NA
TraesCS1A02G020800	NA	NA	NA
TraesCS1A02G021000	0	0.002037671	NA
TraesCS1A02G021400	NA	0.002037671	NA
TraesCS1A02G021500	NA	NA	NA
TraesCS1A02G021600	NA	NA	NA
TraesCS1A02G021700	0.002413462	NA	NA
TraesCS1A02G021900	NA	NA	NA
TraesCS1A02G022000	NA	NA	0.01703948
TraesCS1A02G022400	NA	NA	NA
TraesCS1A02G022600	NA	0	1.239019656
TraesCS1A02G022900	NA	NA	NA
TraesCS1A02G023205	0	0.003906421	0.001653313
TraesCS1A02G023300	0	0	NA
TraesCS1A02G023400	0.098041223	0.086557891	0.001990521
TraesCS1A02G023600	NA	NA	NA
TraesCS1A02G023700	NA	NA	NA
TraesCS1A02G023800	0.027737576	0	0.002037236
TraesCS1A02G023900	NA	0.001285688	NA
TraesCS1A02G024000	NA	0.001285688	NA
TraesCS1A02G024100	NA	NA	NA
TraesCS1A02G024200	0	NA	0.000782899
TraesCS1A02G024300	0.032133836	0	0.000782899
TraesCS1A02G024600	0.011281739	0.007024318	0.000301426
TraesCS1A02G024700	0.023907715	0.026825639	0.003537663
TraesCS1A02G025100	0.267425824	0.150361006	0.001769746
TraesCS1A02G025200	0.046468467	0.00773772	0.001813466
TraesCS1A02G025700	0.027518541	0.019747165	0.022571213
TraesCS1A02G025800	0	0.06426102	0.028629615
TraesCS1A02G025900	0.029561434	0.031106724	0.023811666
TraesCS1A02G026300	0.001793004	NA	NA
TraesCS1A02G026400	0.051333559	NA	0.173968675
