Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.321814419	0.037362885	0.187363386
TraesCS1A02G001900	0.246974285	0.019867523	0.127546594
TraesCS1A02G002000	0.023569285	0	0.064023705
TraesCS1A02G002100	0	0.022950294	0.05470664
TraesCS1A02G002200	0.787854206	0.32296339	0.166488181
TraesCS1A02G002300	0	0	0.146294933
TraesCS1A02G002500	0.221870543	0.141050641	0.123685772
TraesCS1A02G002700	0.138252707	0.121463883	0.124906305
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0.027432587
TraesCS1A02G004000	NA	NA	0
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0.068671909	0.170218341	0
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0	0.018573724
TraesCS1A02G005100	0	0.135177806	0.187436709
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0.018573724
TraesCS1A02G005500	0.108559176	0.03836106	0.194223294
TraesCS1A02G005600	0.095334855	0	0.120855307
TraesCS1A02G005700	0.035249122	0.174014114	0.083508189
TraesCS1A02G005800	0.019586759	0.198307869	0.151418201
TraesCS1A02G005900	0.316391277	0.135177806	0.187436709
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.074638129	0.173513065	0.315428836
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0	NA	0.120694019
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
TraesCS1A02G009000	0.115121943	0.226519633	0.118781157
TraesCS1A02G009100	0	0	0.313186722
TraesCS1A02G009400	NA	0	NA
TraesCS1A02G009500	NA	0	0
TraesCS1A02G009600	NA	0	NA
TraesCS1A02G009900	NA	0	NA
TraesCS1A02G010100	NA	0	0
TraesCS1A02G010200	NA	0	NA
TraesCS1A02G010400	0	0	NA
TraesCS1A02G010600	NA	NA	NA
TraesCS1A02G010800	NA	NA	NA
TraesCS1A02G011200	0	0.032944913	0
TraesCS1A02G011300	NA	NA	NA
TraesCS1A02G011400	0	NA	0
TraesCS1A02G011800	0.159663869	0.113107805	0.165641033
TraesCS1A02G011900	NA	NA	0
TraesCS1A02G012000	0	NA	0
TraesCS1A02G012100	NA	NA	0
TraesCS1A02G012500	0.020239187	0	0
TraesCS1A02G013000	NA	NA	NA
TraesCS1A02G013200	NA	NA	NA
TraesCS1A02G013400	NA	NA	NA
TraesCS1A02G013600	0	0.269884512	0.115917837
TraesCS1A02G013700	0.060714782	0	0.052737609
TraesCS1A02G013800	0	0.044701928	0
TraesCS1A02G014000	NA	NA	NA
TraesCS1A02G014100	NA	0	NA
TraesCS1A02G014800	NA	0.269884512	0.115917837
TraesCS1A02G015200	0	0.03942809	0.02329266
TraesCS1A02G015300	0.366811539	0.190883714	0.084457983
TraesCS1A02G015400	0.090055891	0.036049242	0
TraesCS1A02G015500	NA	0	0
TraesCS1A02G015600	NA	NA	0
TraesCS1A02G015700	NA	NA	0
TraesCS1A02G015800	NA	0	NA
TraesCS1A02G016300	NA	NA	NA
TraesCS1A02G016800	NA	NA	NA
TraesCS1A02G016900	0.047671773	0.042507412	0.062361956
TraesCS1A02G017000	0.108281358	0	0.01566821
TraesCS1A02G017300	NA	0	NA
TraesCS1A02G017400	NA	0	NA
TraesCS1A02G017700	NA	NA	NA
TraesCS1A02G017900	0	0	0
TraesCS1A02G018000	NA	NA	NA
TraesCS1A02G018100	0	0	0
TraesCS1A02G018500	0	NA	NA
TraesCS1A02G018600	NA	NA	NA
TraesCS1A02G018700	NA	NA	0
TraesCS1A02G018800	0	NA	0
TraesCS1A02G018900	0.109601002	0.23476706	0.201545609
TraesCS1A02G019000	0.847562912	0.931368052	0.651072691
TraesCS1A02G019200	0.043791245	0.06390641	0.019116484
TraesCS1A02G019300	NA	NA	0
TraesCS1A02G019400	NA	0	0
TraesCS1A02G019600	NA	NA	NA
TraesCS1A02G019700	NA	NA	NA
TraesCS1A02G019800	NA	NA	NA
TraesCS1A02G019900	NA	NA	NA
TraesCS1A02G020000	NA	NA	NA
TraesCS1A02G020200	NA	NA	NA
TraesCS1A02G020300	0.015542236	0.174049052	0
TraesCS1A02G020400	0	0.068271213	0
TraesCS1A02G020500	0.462321674	1.472842557	0.698284485
