Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	6.6415	2.235	3.5885
TraesCS1A02G001900	0	0	0
TraesCS1A02G002000	4.7665	1.0895	3.4125
TraesCS1A02G002100	23.3605	0	0
TraesCS1A02G002200	17.9345	0.1275	0
TraesCS1A02G002300	2.6035	0	6.5705
TraesCS1A02G002500	5.349	0	0
TraesCS1A02G002700	29.7655	0	0
TraesCS1A02G002800	0	0	0
TraesCS1A02G003546	0	0	9.778
TraesCS1A02G004000	0	0.01	0.444
TraesCS1A02G004100	0.0075	0	0
TraesCS1A02G004200	40.502	1.2665	11.6225
TraesCS1A02G004300	0	0	0
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	0	0	0
TraesCS1A02G004700	0	0	0
TraesCS1A02G004900	7.478	0	7.1135
TraesCS1A02G005100	2.258	0.8905	1.8385
TraesCS1A02G005200	0	0	0
TraesCS1A02G005300	0.379	0	7.1135
TraesCS1A02G005500	9.4255	5.078	18.914
TraesCS1A02G005600	0	0	0
TraesCS1A02G005700	131.9015	2.4415	0
TraesCS1A02G005800	0	0.0075	0.0145
TraesCS1A02G005900	9.0385	0.8905	1.8385
TraesCS1A02G006000	0	0	0
TraesCS1A02G006100	0	0	0
TraesCS1A02G006200	0	0.0135	0
TraesCS1A02G006300	0	0.0135	0
TraesCS1A02G006500	0	0	0.011
TraesCS1A02G006700	0	0	0.111
TraesCS1A02G006800	0	0	0
TraesCS1A02G006900	0	0	0.011
TraesCS1A02G007000	0	0	0.011
TraesCS1A02G007100	0	0	0.011
TraesCS1A02G007500	22.913	5.5945	0
TraesCS1A02G007600	0	0	0
TraesCS1A02G008100	0.573	0	0.4585
TraesCS1A02G008300	0	0	0.4585
TraesCS1A02G008400	0	0	0.3615
TraesCS1A02G008800	0	0	0
TraesCS1A02G008900	0	0	0
TraesCS1A02G009000	0	2.5315	0
TraesCS1A02G009100	3.2005	2.6185	11.1
TraesCS1A02G009400	0	0	0.413
TraesCS1A02G009500	0	0	0.022
TraesCS1A02G009600	0	0.22	0.054
TraesCS1A02G009900	0.01	0.8435	0
TraesCS1A02G010100	0.2965	0.116	12.886
TraesCS1A02G010200	0.023	0	0.186
TraesCS1A02G010400	0.205	0	0.4585
TraesCS1A02G010600	0	0	0
TraesCS1A02G010800	0	0	0
TraesCS1A02G011200	0	0	0
TraesCS1A02G011300	0	0	0
TraesCS1A02G011400	0.021	0	0.0435
TraesCS1A02G011800	4.3995	1.316	14.8305
TraesCS1A02G011900	0.0335	0	1.3605
TraesCS1A02G012000	0.422	0	1.3605
TraesCS1A02G012100	0.0995	0	1.3605
TraesCS1A02G012500	0	0	11.359
TraesCS1A02G013000	0	0.0525	0
TraesCS1A02G013200	0	0	0.0105
TraesCS1A02G013400	0	0	0
TraesCS1A02G013600	6.129	0.8825	15.13
TraesCS1A02G013700	9.296	0.1265	7.344
TraesCS1A02G013800	0.0575	0	0
TraesCS1A02G014000	0	0	0
TraesCS1A02G014100	0	0	0
TraesCS1A02G014800	0.242	0.8825	15.13
TraesCS1A02G015200	0.025	0	0.307
TraesCS1A02G015300	8.5705	0	9.8575
TraesCS1A02G015400	4.4515	0.342	5.866
TraesCS1A02G015500	0	0	0
TraesCS1A02G015600	0.075	0	0.025
TraesCS1A02G015700	0	0	0.0285
TraesCS1A02G015800	0.0375	0	0.0185
TraesCS1A02G016300	0	0	0
TraesCS1A02G016800	0	0	0
TraesCS1A02G016900	0	0	0
TraesCS1A02G017000	20.75	0	0
TraesCS1A02G017300	0	0	0
TraesCS1A02G017400	0	0	0
TraesCS1A02G017700	0	0	0
TraesCS1A02G017900	0.1145	0.092	0.4715
TraesCS1A02G018000	0.0195	0.1695	0.472
TraesCS1A02G018100	0.3385	0.347	0.009
TraesCS1A02G018500	0.819	1.006	0.753
TraesCS1A02G018600	0.071	0.1695	0.472
TraesCS1A02G018700	0	0	0.0265
TraesCS1A02G018800	0	0.018	0.0685
TraesCS1A02G018900	36.9035	5.899	19.1045
TraesCS1A02G019000	16.6625	2.921	20.574
TraesCS1A02G019200	12.4545	3.1035	13.1885
TraesCS1A02G019300	0	0	0
TraesCS1A02G019400	0	0	0.081
TraesCS1A02G019600	0	0	0
TraesCS1A02G019700	0	0	0
TraesCS1A02G019800	0	0	0
TraesCS1A02G019900	0	0	0
TraesCS1A02G020000	4.0935	0.429	0
TraesCS1A02G020200	0	0	0
TraesCS1A02G020300	13.9885	0.098	6.497
TraesCS1A02G020400	6.826	0.5745	4.962
TraesCS1A02G020500	0	8.986	147.4715
TraesCS1A02G020600	9.818	0.156	7.3205
TraesCS1A02G020700	3.6255	0	0.055
TraesCS1A02G020800	0	0	0.0155
TraesCS1A02G021000	0	0	0
TraesCS1A02G021400	0	0	0
TraesCS1A02G021500	0	0	0
TraesCS1A02G021600	0	0	0
TraesCS1A02G021700	5.1455	0	0
TraesCS1A02G021900	0	0	0
TraesCS1A02G022000	0	0	6.4815
TraesCS1A02G022400	0	0	0
TraesCS1A02G022600	2.474	0.4095	19.4485
TraesCS1A02G022900	0	0	0
TraesCS1A02G023205	0.3055	0.451	2.56
TraesCS1A02G023300	0	0	0
TraesCS1A02G023400	0	0	0.085
TraesCS1A02G023600	0	0	0.0235
TraesCS1A02G023700	0	0	0
TraesCS1A02G023800	0	1.0445	13.884
TraesCS1A02G023900	0	0	1.7575
TraesCS1A02G024000	0	0	1.7575
TraesCS1A02G024100	0	0	0
TraesCS1A02G024200	0	2.1885	0
TraesCS1A02G024300	4.747	0.0265	0
TraesCS1A02G024600	4.0065	0	13.006
TraesCS1A02G024700	13.8665	4.3795	11.6735
TraesCS1A02G025100	0	21.8795	48.0805
TraesCS1A02G025200	6.9265	3.8635	7.506
TraesCS1A02G025700	6.8445	0.632	6.597
TraesCS1A02G025800	0	0	0.5655
TraesCS1A02G025900	0	0	0
TraesCS1A02G026300	0.435	0.377	0.548
TraesCS1A02G026400	31.1415	12.171	4.76
TraesCS1A02G026900	0	0.019	0
TraesCS1A02G027200	12.656	40.844	1.185
TraesCS1A02G027300	3.235	0.5695	1.4605
TraesCS1A02G027400	0.057	1.5615	0
TraesCS1A02G027500	2.5685	1.5615	0
TraesCS1A02G027600	4.021	1.216	0.397
TraesCS1A02G027700	2.828	1.5615	4.543
TraesCS1A02G027800	0.6365	1.5615	3.904
TraesCS1A02G028000	0.0795	1.036	0
TraesCS1A02G028100	0	0	0
TraesCS1A02G028300	0	0	0
TraesCS1A02G028400	0.6115	1.7185	3.013
TraesCS1A02G028500	7.9085	0.377	4.76
TraesCS1A02G028600	14.47	1.7185	3.013
TraesCS1A02G028700	10.8235	1.7185	3.013
TraesCS1A02G028900	16.7605	12.171	4.76
TraesCS1A02G029100	1.0635	1.078	0.8015
TraesCS1A02G029200	26.852	7.184	37.351
TraesCS1A02G029300	16.1765	2.8535	8.0245
TraesCS1A02G029400	0	0	0
TraesCS1A02G029900	0	0	0
TraesCS1A02G030100	7.4465	0.611	9.968
TraesCS1A02G030500	24.5085	5.269	23.9805
TraesCS1A02G030600	7.444	0.0495	11.48
TraesCS1A02G030700	3.4555	0.398	4.2375
TraesCS1A02G031000	0	0	0
TraesCS1A02G031100	0.139	0	0.067
TraesCS1A02G031200	4.3865	1.568	2.5865
TraesCS1A02G031300	0.0175	0	0.0155
TraesCS1A02G031400	3.564	0.778	7.833
TraesCS1A02G031800	0.0235	0	0
TraesCS1A02G031900	0	0	0
TraesCS1A02G032000	0	0	0
TraesCS1A02G032200	0	0	0
TraesCS1A02G032300	0	0	0
TraesCS1A02G032400	0	0	0
TraesCS1A02G032700	0	2.322	12.3385
TraesCS1A02G032900	0.0965	0.025	0.2495
TraesCS1A02G033000	24.72	9.387	30.4665
TraesCS1A02G033100	19.797	2.823	11.326
TraesCS1A02G033300	3.73	0.3045	5.2815
TraesCS1A02G033400	0	0	0
TraesCS1A02G033500	19.3395	1.5635	24.2625
TraesCS1A02G033600	21.6775	1.5635	24.2625
TraesCS1A02G033800	12.489	0.4245	3.1085
TraesCS1A02G034100	6.328	2.8535	5.566
TraesCS1A02G034300	0	0	0
TraesCS1A02G034500	0	0	0
TraesCS1A02G034600	0	0	0
TraesCS1A02G034700	0	0	0
TraesCS1A02G034800	0	0	0
TraesCS1A02G034900	0	0	0
TraesCS1A02G035000	17.251	4.342	6.778
TraesCS1A02G035200	1.842	0	0
TraesCS1A02G035400	1.5475	0	0
TraesCS1A02G035700	0	0	0
TraesCS1A02G035900	32.064	0	5.101
TraesCS1A02G036000	0	0	0
TraesCS1A02G036100	0	0	0
TraesCS1A02G036200	1.718	0.9295	2.6915
TraesCS1A02G036300	11.913	4.208	10.5305
TraesCS1A02G036400	0.018	0	0
TraesCS1A02G036500	5.228	0	0
TraesCS1A02G036700	0.0195	0.055	0.1485
TraesCS1A02G037400	0	0	0
TraesCS1A02G037700	0.025	0	0
TraesCS1A02G037800	0.0245	0	0
TraesCS1A02G037900	44.483	1.2675	25.118
TraesCS1A02G038100	12.2825	5.3155	287.034
TraesCS1A02G038200	193.562	58.6565	232.4075
TraesCS1A02G038300	9.675	1.5115	56.731
TraesCS1A02G038400	0	0	0
TraesCS1A02G039100	0	0	0
TraesCS1A02G039200	12.9545	0	9.9995
TraesCS1A02G039900	0	0.0215	0.038
TraesCS1A02G040100	0	0	0
TraesCS1A02G040400	23.3875	1.902	18.156
TraesCS1A02G040500	20.5765	0	17.3665
TraesCS1A02G040600	31.146	5.798	34.4135
TraesCS1A02G041700	0	0	0
TraesCS1A02G041900	1.913	1.5615	4.543
TraesCS1A02G042000	0	0	0
TraesCS1A02G042100	0.3075	1.5615	0.018
TraesCS1A02G042300	0	0	0.0745
TraesCS1A02G042700	0.492	0.056	0
TraesCS1A02G042800	0.1045	0.0235	0.807
TraesCS1A02G043200	16.193	5.9045	30.342
TraesCS1A02G043400	12.513	0.03	21.6835
TraesCS1A02G043500	0	0	0
TraesCS1A02G043600	17.2195	0.801	17.183
TraesCS1A02G043900	0	0	0
TraesCS1A02G044500	3.016	0	0
TraesCS1A02G044600	1.768	0.052	2.376
TraesCS1A02G044800	11.163	0.025	0.108
TraesCS1A02G044900	0	0	0.037
TraesCS1A02G045000	0.0555	0	0
TraesCS1A02G045100	0	0	0
TraesCS1A02G045300	0.009	0	0.6685
TraesCS1A02G045400	7.8685	1.8175	7.6525
TraesCS1A02G045500	0	0	0
TraesCS1A02G045600	0	0	0
TraesCS1A02G045800	0.449	0.023	2.017
TraesCS1A02G045900	0	0.0305	0
TraesCS1A02G046000	0	0	0.191
TraesCS1A02G046100	0	0	11.932
TraesCS1A02G046300	8.0735	0	16.766
TraesCS1A02G046400	0	0	0.012
TraesCS1A02G046500	0.0125	0	0
TraesCS1A02G046600	22.6195	0	11.1735
TraesCS1A02G046800	3.492	0.6375	1.146
TraesCS1A02G047000	6.682	1.758	9.9725
TraesCS1A02G047200	0	0	0
TraesCS1A02G047300	0	0	0.015
TraesCS1A02G047400	0	0	0
TraesCS1A02G047500	17.071	2.5185	9.5535
TraesCS1A02G047700	0.018	0	0.0515
TraesCS1A02G048300	0	0	0
TraesCS1A02G048400	0.8215	0.974	0
TraesCS1A02G048500	0.657	0.974	0
TraesCS1A02G048600	8.932	0.056	15.177
TraesCS1A02G048700	0	0	0.0445
TraesCS1A02G049300	0	0	0
