Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G001800	0.116938973	0.053541369	0.197230963
TraesCS1A02G001900	0.226681309	0.11451045	0.11681727
TraesCS1A02G002000	0.046066729	0.004104207	0.005621217
TraesCS1A02G002100	0.026418887	0.040933106	0.007182123
TraesCS1A02G002200	0.59725425	0.49457665	0.234750298
TraesCS1A02G002300	0.011785704	0.021630486	0.008168153
TraesCS1A02G002500	0.049464146	0.084903838	0.014810416
TraesCS1A02G002700	0.181882134	0.074938816	0.222756455
TraesCS1A02G002800	NA	NA	0
TraesCS1A02G003546	NA	NA	0.017117096
TraesCS1A02G004000	NA	NA	0
TraesCS1A02G004100	NA	NA	NA
TraesCS1A02G004200	0.020870601	0.44582327	0
TraesCS1A02G004300	NA	NA	NA
TraesCS1A02G004400	0	0	0
TraesCS1A02G004600	NA	0	0
TraesCS1A02G004700	NA	NA	NA
TraesCS1A02G004900	NA	0.011863582	0.018139858
TraesCS1A02G005100	0	0.325922156	0.037274808
TraesCS1A02G005200	NA	NA	NA
TraesCS1A02G005300	0	NA	0.018139858
TraesCS1A02G005500	0.180240177	0.223881064	0.21159517
TraesCS1A02G005600	0.109821314	0.02524504	0.064815854
TraesCS1A02G005700	0.082967912	0.048511777	0.06818829
TraesCS1A02G005800	0.042986034	0.147978597	0.096685824
TraesCS1A02G005900	1.010939965	0.325922156	0.037274808
TraesCS1A02G006000	NA	NA	NA
TraesCS1A02G006100	NA	NA	NA
TraesCS1A02G006200	NA	NA	NA
TraesCS1A02G006300	NA	NA	NA
TraesCS1A02G006500	NA	NA	NA
TraesCS1A02G006700	NA	NA	0
TraesCS1A02G006800	NA	NA	NA
TraesCS1A02G006900	NA	NA	NA
TraesCS1A02G007000	NA	0	NA
TraesCS1A02G007100	NA	NA	NA
TraesCS1A02G007500	0.192006581	0.113741996	0.277290135
TraesCS1A02G007600	NA	NA	NA
TraesCS1A02G008100	0.006347506	0	NA
TraesCS1A02G008300	NA	0	NA
TraesCS1A02G008400	0	NA	0.036036683
TraesCS1A02G008800	NA	NA	NA
TraesCS1A02G008900	NA	NA	NA
